toilet_id,object_id,object_id_1,address,bmc_department,female_facilities,male_facilities,ward_code_source,twitter,latitude,longitude,source,source_file,verification_status,total_facilities,coordinate_valid
e18c58a8-64f0-4517-a223-9fa4fa38e281,1615,1615,"Shridhar Shukla Chawl,Bajiwadi,Bihari Tekadi,Poisar,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2088889,72.8572222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
62254c1a-5c83-4ac8-956c-112a94f3aaa0,1616,1616,"Vinod Singh Gupta Chawl,New Bajiwadi,Bihari Tekadi,Virendra Singh Compound,Poisar,Kandiva.",Solid Waste Management,1,1,RS,@mybmcSWM,19.2086111,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
32482f8f-d3ae-49c2-a6fb-037ea8047f4f,1617,1617,"Vinod Singh Gupta Chawl,New Bajiwadi,Bihari Tekadi,Virendra Singh Compound,Poisar,Kandiva.",Solid Waste Management,1,1,RS,@mybmcSWM,19.2088889,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
2c2b953f-2308-4a96-966c-2065ac78f914,1618,1618,"Vinod Singh Gupta Chawl,New Bajiwadi,Bihari Tekadi,Verendra Singh Compound,Poisar,Kandiva.",Solid Waste Management,1,1,RS,@mybmcSWM,19.2091667,72.8566667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
ef215b48-4b42-4b26-9590-890673e7167e,1619,1619,"Jogindar Singh Chawl,Mithil Nagar,Bihari Tekadi,Bajiwadi,Poisar,Kandivali (E)",Solid Waste Management,7,11,RS,@mybmcSWM,19.2094444,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True
6af7c3d4-cc78-44db-820c-b053efa69f60,1620,1620,"Gauri Pande Chawl,Bihari Tekadi,Jay Ambe Nagar,Poisar,Kandivali (E)",Solid Waste Management,5,11,RS,@mybmcSWM,19.2088889,72.8575,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
3c5b6bd6-1670-4202-a1ed-fff5b64a5e3f,1621,1621,"Kamlesh Compound,Bajiwadi,Poisar,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2094444,72.8577778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
b2b37bcf-a49f-4a1c-b991-caecf4d3f25e,1622,1622,"Jai Ambe Chawl No.5,Bihari Tekadi,Nr.Hanuman Temple,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2094444,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
3660b657-6fc4-4380-8750-d18e26718b31,1623,1623,"Jai Ambe Chawl No.4,Bihari Tekadi,Nr.Hanuman Temple,Poisar,Kandivali (E)",Solid Waste Management,1,2,RS,@mybmcSWM,19.2097222,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,3,True
42a34bfb-b2d2-4c46-b6e8-7bc8b75d2ca5,1624,1624,"Jai Ambe Chawl,Bihari Tekadi,Nr.Hanuman Temple,Chawl No.3,Poisar,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.2097222,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
3416c06f-30fd-4042-bf56-d36eefddec72,1625,1625,"Jan Bhagyoday Chawl,Bihari Tekadi,Nanjiwadi,Gaondevi Road,Nr.Durga Mata Mandir,Poisar,Kan.",Solid Waste Management,2,3,RS,@mybmcSWM,19.2105556,72.8580556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True
7a91f9f9-d0bd-469a-8dd3-dd72174969b4,1626,1626,"Mithila Nagar,Navyug Balmitra Mandal,Nr.Hanuman Temple,Bihari Tekadi,Poisar,Kandivali (E)",Solid Waste Management,5,6,RS,@mybmcSWM,19.2102778,72.8580556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,11,True
