openaq_location_id,station_name,urban_ward_code,provider,parameter,parameter_display,unit,value,datetime_from,datetime_to,source
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,,,,16.72,,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,,,,11.5,,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,,,,1070.0,,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,,,,55.0,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,9.06,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,3.69,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,0.82,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,9.01,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,31.17,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,66.68,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,0.93,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,23.47,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,7.22,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,0.006730000000000001,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,1.56,,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,,,,268.26,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,57.14,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,3.14,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,2.37,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,0.32,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,23.515,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,2.24,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,51.01,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,7.36,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,11.0,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,0.34,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,0.009710000000000002,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,303.62,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,116.44,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,0.0,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,11.0,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,1000.0,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,32.74,,,OpenAQ
12024,"Chakala-Andheri East, Mumbai - IITM",KE,CPCB,,,,41.66,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,6.86,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,13.31,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,5.65,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,28.29,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,88.45,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,0.31,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,46.2,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,1.28,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,6.15,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,288.04,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,0.00848,,,OpenAQ
3409483,"Chembur, Mumbai - MPCB",ME,CPCB,,,,0.64,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,29.9,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,59.21,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,0.31,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,19.71,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,6.73,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,30.71,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,6.18,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,15.8,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,10.62,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,0.71,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,165.77,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,0.03034,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,184.0,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,6.54,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,29.5,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,15.97,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,830.0,,,OpenAQ
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",KE,CPCB,,,,44.0,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,6.03,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,1340.0,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,58.79,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,72.16,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,2.49,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,157.8,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,87.75,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,738.75,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,11.16,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,16.76,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,138.0,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,27.3,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,1.12,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,38.39,,,OpenAQ
6927,"Colaba, Mumbai - MPCB",A,CPCB,,,,21.9,,,OpenAQ
