ward_code,population_2011,area_sq_km,population_density_per_sq_km,healthcare_stress,healthcare_indicator_count,healthcare_indicator_total,healthcare_coverage_pct,education_stress,education_indicator_count,education_indicator_total,education_coverage_pct,sanitation_stress,sanitation_indicator_count,sanitation_indicator_total,sanitation_coverage_pct,safety_stress,safety_indicator_count,safety_indicator_total,safety_coverage_pct,transport_stress,transport_indicator_count,transport_indicator_total,transport_coverage_pct,civic_stress,civic_indicator_count,civic_indicator_total,civic_coverage_pct,green_space_stress,green_space_indicator_count,green_space_indicator_total,green_space_coverage_pct,urban_stress_index,urban_stress_domain_count,urban_stress_domain_coverage_pct,urban_stress_band,lisa_cluster,moran_local_p,lisa_significant,priority_domain,priority_domain_score,intervention_priority,suggested_intervention,overall_stress_rank,decision_support_note
N,622853,30.6023,20353.16,87.5,1,1,100.0,66.66666666666667,3,3,100.0,25.0,1,1,100.0,75.88932806324111,2,2,100.0,85.41666666666667,2,2,100.0,38.888888888888886,3,3,100.0,68.75,2,2,100.0,64.0159357550662,7,100.0,High,Not Significant,0.4,False,Healthcare,87.5,High Priority,Healthcare capacity and accessibility,2,Healthcare is the highest-stress domain for this ward (87.50). Overall Urban Stress Index is 64.02.
PS,463507,25.3956,18251.45,83.33333333333334,1,1,100.0,70.83333333333333,3,3,100.0,29.166666666666668,1,1,100.0,41.897233201581024,2,2,100.0,41.66666666666666,2,2,100.0,69.44444444444444,3,3,100.0,43.75,2,2,100.0,54.29881109228936,7,100.0,Moderate,Not Significant,0.369,False,Healthcare,83.33333333333334,High Priority,Healthcare capacity and accessibility,8,Healthcare is the highest-stress domain for this ward (83.33). Overall Urban Stress Index is 54.30.
PN,941366,46.7005,20157.51,62.5,1,1,100.0,50.0,3,3,100.0,8.333333333333332,1,1,100.0,75.59288537549406,2,2,100.0,75.0,2,2,100.0,66.66666666666667,3,3,100.0,79.16666666666666,2,2,100.0,59.6085074345944,7,100.0,Moderate,Not Significant,0.305,False,Green Space,79.16666666666666,High Priority,Green-space availability and access,5,Green Space is the highest-stress domain for this ward (79.17). Overall Urban Stress Index is 59.61.
B,127290,2.6582,47885.44,70.83333333333334,1,1,100.0,29.861111111111114,3,3,100.0,87.5,1,1,100.0,8.893280632411066,2,2,100.0,35.41666666666667,2,2,100.0,98.61111111111111,3,3,100.0,93.75,2,2,100.0,60.695071836376194,7,100.0,High,Not Significant,0.388,False,Civic,98.61111111111111,High Priority,Civic service response and resolution,3,Civic is the highest-stress domain for this ward (98.61). Overall Urban Stress Index is 60.70.
RC,562162,47.95,11723.92,58.333333333333336,1,1,100.0,23.611111111111104,3,3,100.0,62.5,1,1,100.0,69.26877470355731,2,2,100.0,54.16666666666667,2,2,100.0,33.333333333333336,3,3,100.0,33.333333333333336,2,2,100.0,47.792364640190726,7,100.0,Moderate,Low-Low,0.039,True,Safety,69.26877470355731,High Priority,Police and fire-service accessibility,16,Safety is the highest-stress domain for this ward (69.27). Overall Urban Stress Index is 47.79.
KE,823885,23.9827,34353.28,33.33333333333333,1,1,100.0,51.388888888888886,3,3,100.0,12.5,1,1,100.0,51.48221343873517,2,2,100.0,54.16666666666666,2,2,100.0,66.66666666666666,3,3,100.0,29.166666666666668,2,2,100.0,42.672062237279626,7,100.0,Moderate,Not Significant,0.291,False,Civic,66.66666666666666,High Priority,Civic service response and resolution,20,Civic is the highest-stress domain for this ward (66.67). Overall Urban Stress Index is 42.67.
L,902225,15.6254,57740.88,45.83333333333333,1,1,100.0,70.83333333333333,3,3,100.0,20.833333333333336,1,1,100.0,91.30434782608695,2,2,100.0,66.66666666666666,2,2,100.0,36.80555555555555,3,3,100.0,33.333333333333336,2,2,100.0,52.2299861973775,7,100.0,Moderate,Not Significant,0.316,False,Safety,91.30434782608695,High Priority,Police and fire-service accessibility,11,Safety is the highest-stress domain for this ward (91.30). Overall Urban Stress Index is 52.23.
S,743783,32.5545,22847.32,37.5,1,1,100.0,48.61111111111112,3,3,100.0,4.166666666666666,1,1,100.0,69.56521739130434,1,2,50.0,70.83333333333334,2,2,100.0,66.66666666666667,3,3,100.0,31.25,2,2,100.0,46.94185645272602,7,100.0,Moderate,Not Significant,0.466,False,Transport,70.83333333333334,High Priority,Public transport accessibility,17,Transport is the highest-stress domain for this ward (70.83). Overall Urban Stress Index is 46.94.
RN,431368,14.1767,30427.95,50.0,1,1,100.0,39.583333333333336,3,3,100.0,16.666666666666664,1,1,100.0,75.49407114624506,2,2,100.0,56.25,2,2,100.0,8.333333333333332,3,3,100.0,14.583333333333332,2,2,100.0,37.27296254470168,7,100.0,Low,Not Significant,0.317,False,Safety,75.49407114624506,High Priority,Police and fire-service accessibility,24,Safety is the highest-stress domain for this ward (75.49). Overall Urban Stress Index is 37.27.
KW,748688,24.354,30741.91,95.83333333333334,1,1,100.0,63.88888888888889,3,3,100.0,79.16666666666666,1,1,100.0,71.6403162055336,2,2,100.0,41.66666666666667,2,2,100.0,72.91666666666667,3,3,100.0,43.75,2,2,100.0,66.98036263253655,7,100.0,High,Not Significant,0.276,False,Healthcare,95.83333333333334,High Priority,Healthcare capacity and accessibility,1,Healthcare is the highest-stress domain for this ward (95.83). Overall Urban Stress Index is 66.98.
A,185014,11.2095,16505.12,8.333333333333332,1,1,100.0,76.38888888888889,3,3,100.0,58.333333333333336,1,1,100.0,4.446640316205533,2,2,100.0,10.416666666666668,2,2,100.0,90.9722222222222,3,3,100.0,37.5,2,2,100.0,40.91301210866428,7,100.0,Moderate,Not Significant,0.082,False,Civic,90.9722222222222,High Priority,Civic service response and resolution,22,Civic is the highest-stress domain for this ward (90.97). Overall Urban Stress Index is 40.91.
C,166161,1.913,86857.7,4.166666666666666,1,1,100.0,63.888888888888886,3,3,100.0,95.83333333333334,1,1,100.0,65.21739130434783,1,2,50.0,31.25,2,2,100.0,69.44444444444444,3,3,100.0,62.5,2,2,100.0,56.042960662525886,7,100.0,Moderate,Not Significant,0.461,False,Sanitation,95.83333333333334,High Priority,Public sanitation and toilet access,6,Sanitation is the highest-stress domain for this ward (95.83). Overall Urban Stress Index is 56.04.
D,346866,8.302,41780.87,100.0,1,1,100.0,31.944444444444443,3,3,100.0,91.66666666666666,1,1,100.0,37.94466403162056,2,2,100.0,4.166666666666663,2,2,100.0,35.416666666666664,3,3,100.0,35.41666666666667,2,2,100.0,48.07939644896168,7,100.0,Moderate,Not Significant,0.428,False,Healthcare,100.0,High Priority,Healthcare capacity and accessibility,15,Healthcare is the highest-stress domain for this ward (100.00). Overall Urban Stress Index is 48.08.
FS,360972,9.8724,36563.59,25.0,1,1,100.0,34.72222222222222,3,3,100.0,75.0,1,1,100.0,17.885375494071145,2,2,100.0,43.75,2,2,100.0,25.694444444444446,3,3,100.0,93.75,2,2,100.0,45.11457745153398,7,100.0,Moderate,Not Significant,0.375,False,Green Space,93.75,High Priority,Green-space availability and access,19,Green Space is the highest-stress domain for this ward (93.75). Overall Urban Stress Index is 45.11.
