facility_id,name,service_type,source_ward,gis_ward,validation_status,latitude,longitude
HC_00286,Golibar UPHC,uphc,HE,HW,mismatch,19.07,72.84
HC_00299,Nusserwanji Jahangirji Wadia UPHC,uphc,KW,KE,mismatch,19.12,72.85
HC_00300,Oshiwara MH UPHC,uphc,KW,PS,mismatch,19.15,72.85
HC_00301,Banana Leaf UPHC,uphc,KW,KE,mismatch,19.13,72.85
HC_00302,Ram Mandir Road UPHC,uphc,PS,KW,mismatch,19.15,72.84
HC_00303,Sundar Nagar UPHC,uphc,PS,S,mismatch,19.1246,72.8962
HC_00315,New Centenary UPHC,uphc,RS,MW,mismatch,19.05,72.91
HC_00335,Bibi Fatima UPHC,uphc,L,S,mismatch,19.1192,72.92
HC_00341,Maasaheb Meenatai Thackeray MH UPHC,uphc,L,KE,mismatch,19.1315,72.8846
HC_00345,Nehru Nagar UPHC,uphc,L,MW,mismatch,19.06,72.89
HC_00346,Vashinaka UPHC,uphc,ME,L,mismatch,19.09,72.89
HC_00360,Kamraj Nagar UPHC,uphc,N,KE,mismatch,19.1315,72.8846
HC_00366,Sarvodaya Nagar UPHC,uphc,N,KE,mismatch,19.1315,72.8846
HC_00374,Subhash Nagar UPHC,uphc,S,KE,mismatch,19.1315,72.8846
HC_00385,Banganga HP,uphc,D,,outside_or_unmatched,18.9615,72.8517
HC_00396,Gokhale Road HP.,uphc,GN,GS,mismatch,19.02,72.83
HC_00410,Sunder Nagar H.P.,uphc,KE,PS,mismatch,19.14,72.87
HC_00415,Bhardawadi H.P.,uphc,KW,KE,mismatch,19.13,72.85
HC_00421,Pahadi HP,uphc,PS,PN,mismatch,19.18,72.85
HC_00424,Dindoshi Vasahat H.P.,uphc,PN,PS,mismatch,19.16,72.84
HC_00427,Centenary H.P.,uphc,RS,KE,mismatch,19.13,72.88
HC_00429,Eksar Village H.P.,uphc,RC,RN,mismatch,19.24,72.85
HC_00430,Borsapada H.P.,uphc,RC,RS,mismatch,19.21,72.84
HC_00441,Centenary Hosp. HP,uphc,ME,MW,mismatch,19.05,72.91
HC_00445,Tilak Nagar HP,uphc,MW,L,mismatch,19.07,72.89
HC_00447,Subhash Nagar HP,uphc,MW,ME,mismatch,19.06,72.91
HC_00448,Barve Nagar HP,uphc,N,L,mismatch,19.1,72.9
HC_00449,Varsha Nagar HP,uphc,N,S,mismatch,19.11,72.92
