green_space_id,green_space_name,address,bmc_department,ward_code_source,twitter_handle,website,latitude,longitude,source_file,source,coordinate_valid
20,"CTS No. 586/7/A, S. No. 139, Near Hub Mall, W. E. Highway, Goregaon (E)","CTS No. 586/7/A, S. No. 139, Near Hub Mall, W. E. Highway, Goregaon (E)",Garden & Trees,PS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1713,72.8725,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
21,"CTS No. 620/F, Village Chincholi, Gokuldham, Opp. Santosh Nagar, Goregaon (E)","CTS No. 620/F, Village Chincholi, Gokuldham, Opp. Santosh Nagar, Goregaon (E)",Garden & Trees,PS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.178,72.8398,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
22,"Plot CTS No.184/G,S.No.61,71,74 village pahadi,gogtewadi/opp. Walia terrace Goregaon East","Plot CTS No.184/G,S.No.61,71,74 village pahadi,gogtewadi/opp. Walia terrace Goregaon East",Garden & Trees,PS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1681,72.8522,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
23,"Sant Nirankari Garden TDR plot no. 1195/1, 1217 of Village Malad (South), Goregaon (W)","Sant Nirankari Garden TDR plot no. 1195/1, 1217 of Village Malad (South), Goregaon (W)",Garden & Trees,PS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1738,72.8408,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
24,Plot CTS No. 97/A/23/B Upper Govind nagar Malad East,Plot CTS No. 97/A/23/B Upper Govind nagar Malad East,Garden & Trees,PS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1753,72.8537,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
25,BMC Garden,"Plot bearing CTS NO. 1C/1 at Link road, near Mahaveer nagar signal, borivali west in R/Central west",Garden & Trees,RC,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.2173,72.8396,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
26,"CTS NO. 384, Rajmata Jijau udyan, Borivali west R CENTRAL WARD","Amarkant Zha Road, Borivali west",Garden & Trees,RC,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.2252,72.8444,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
27,"Shahid Tukaram Ombale Garden, Dahisar west",Plantation of trees by Miyawaki method at Tukaram Ombale Garden Dahisar west in R/N ward,Garden & Trees,RN,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.237,72.8317,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
28,"cts no 108,109,110 at Dahisar west","Plantation of trees by Miyawaki method atPlot bearing cts no 108,109,110 at Dahisar west in R/N ward",Garden & Trees,RN,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.2595,72.8538,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
29,Dahisar cemetry Dahisar west,Plantation of trees by Miyawaki method atDahisar cemetry Dahisar west in R/N ward,Garden & Trees,RN,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.2605,72.8553,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
30,Green Park Garden,"Plantation of trees by Miyawaki method atGreen park Garden, I.C. Colony, Dahisar west in R/North ward",Garden & Trees,RN,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.2515,72.8475,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
31,Pramod Navalkar udyan,"Pramod Navalkar udyan,Garden plot at Thakur Complex bearing CTS No.744/4, 748/4, Kandivali(E) Mumbai 400101.",Garden & Trees,RS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.2126,72.8188,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
32,"Veer Abdul hamid udyan, CTS No. 171/1A/4(pt)","Veer Abdul hamid udyan, CTS No. 171/1A/4(pt) Village Akurli, At Akurli Road, Kandivali(E) Mumbai 400101",Garden & Trees,RS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1983,72.8685,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
33,Sahitya Samrat Aanabhau Sathe Manoranjan Maidan,"Sahitya Samrat Aanabhau Sathe Manoranjan Maidan,Plot bearing C.T.S. No. 171/1A/09, Lokhandwala Complex, Kandivali (E)Mumbai 400101",Garden & Trees,RS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1976,72.8699,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
34,Lakefront of Powai Lake,Lakefront of Powai Lake,Garden & Trees,S,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1273,72.9048,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
35,Hiranandani Gardens,"C.T.S. no. 7/2, Hiranandani Gardens, Powai",Garden & Trees,S,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1154,72.9091,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
36,Bharatratna Atal Bihari Vajpeyee Udyan,"Bharatratna Atal Bihari Vajpeyee Udyan, Cliff Avenue, Hiranandani Gardens, Powai",Garden & Trees,S,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1154,72.9091,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
37,"Bhandup Complex,Darga rd,khindipada,Mulund (w),Mumbai-400082","Behind Inspection Bungalow Bhandup Complex Water Treatment Plant,Khindipada Bhandup west, Mumbai 400 078.",Garden & Trees,S,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,,,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",False
38,Dr. A.P.J. abdul Kalam Garden,miyawaki method at Dr. A.P.J. abdul Kalam Garden Mulund (E) in T ward,Garden & Trees,T,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1757,72.9721,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
39,R.R. Patil garden,"R.R. Patil garden, Hariom Nagar Mulund East in T ward",Garden & Trees,T,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.1985,72.9748,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
40,Strip Garden at Lala lajpatrai road,"Strip Garden at Lala lajpatrai road, near Government Colony, Haji Ali",Garden & Trees,G/S,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.98,72.81,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
41,Colaba Woods Garden,"Colaba Wood Garden, Capt.Prakash Pethe Marg, behind Cuffe Parade Police Station. Cuffe Parade",Garden & Trees,A,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.9123,72.8183,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1892,"Veermalji Makaji Bohra Maidan,",,,,,,18.966105,72.825859,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1893,R.G. Plot at 10th lane Kamathipura,,,,,,18.966269,72.825639,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1894,"Tank Square Maidan,",,,,,,18.970946,72.81104,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1895,"Sant Rohidas Udyan,",,,,,,18.9798457,72.8278889,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1896,"R.G. Plot at 5th Sankhali Street,",,,,,,18.973295,72.828427,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1897,"R.G. Plot In between BIT chawl no.6 & 7,",,,,,,18.967311,72.838311,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1898,"Suresh Vishwanath Acharekar Maidan,",,,,,,18.987966,72.83508,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1899,"R.G. Plot at N. M. Joshi Marg,",,,,,,18.9802357,72.8309298,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1900,"R.G. Plot at Maulana Azad Road,",,,,,,18.97663,72.827081,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1901,"R.G. Plot at Vaishali Nagar,",,,,,,18.980096,72.824071,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1902,"R.G. Plot at Gel Street,",,,,,,18.976833,72.825145,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1903,"Batliboy Compound Maidan,",,,,,,18.984826,72.840546,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1904,"P.G. Plot at Laxmiwadi,",,,,,,18.985135,72.836598,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1905,"Kai. Eknath (Bhai) Maruti Bandhal Maidan, (Nawab Tank Maidan),",,,,,,18.966027,72.845135,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1906,नवलचंद शहा उद्यान,,,,,,19.062651,72.885452,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1907,,,,,,,19.062684,72.882077,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1908,हुसैनी मनोरंजन मैदान,,,,,,19.060588,72.876798,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1909,छत्रपती शिवाजी महाराज उद्यान,,,,,,19.0531255,72.869785,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1910,मॉँसाहेब मीनाताई ठाकरे बॉटेनिकल उद्यान,,,,,,19.05162,72.879992,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1911,गांधी मैदान,,,,,,19.077407,72.881586,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1912,राम गणेश गडकरी मैदान,,,,,,19.067449,72.875822,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1913,छत्रपती शिवाजी महाराज मैदान,,,,,,19.061887,72.881222,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1914,स्वातंत्र्यवीर विनायक दामोदर सावरकर क्रीडांगण,,,,,,19.058054,72.881267,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1915,छत्रपती शिवाजी महाराज पार्क,,,,,,19.091908,72.885747,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1916,119F/4,,,,,,19.120071,72.895958,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1917,पुण्यश्लोक अहिल्याबाई होळकर मैदान,,,,,,19.117303,72.892425,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1918,संत शिरोमणी रोहिदास मैदान,,,,,,19.117934,72.892434,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1919,डॉ दत्ता सामंत मैदान,,,,,,19.118019,72.88752,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1920,वीरमाता जिजाबाई भोसले मैदान,,,,,,19.113608,72.896539,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1921,समाजसेविका सावित्रीबाई फूले मैदान,,,,,,19.112854,72.896264,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1922,डॉ बाबासाहेब आंबेडकर मैदान,,,,,,19.0639706,72.8836458,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1923,गंगाराम गोविंद साळगावकर उद्यान,,,,,,19.0635059,72.8836599,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1924,श्री छत्रपती शिवाजी महाराज क्रीडांगण,,,,,,19.054356,72.870214,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1925,मुक्तादेवी मनोरंजन मैदान,,,,,,19.054483,72.875096,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1926,एकनाथ रामचंद्र कोपर्डे मनोरंजन मैदान,,,,,,19.067434,72.876998,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1927,मीनाताई ठाकरे मनोरंजन मैदान,,,,,,19.11063,72.894455,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1928,,,,,,,19.1171186,72.903146,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1929,,,,,,,19.116072,72.903708,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1930,श्रावण बाळ मनोरंजन मैदान,,,,,,19.090687,72.8941,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1931,वीरमाता जिजाऊ भोसले मनोरंजन मैदान,,,,,,19.094156,72.894483,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1932,,,,,,,19.11043,72.900671,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1933,राजे शिव छत्रपती मनोरंजन मैदान,,,,,,19.070842,72.877691,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1934,प्रमोदजी महाजन मनोरंजन मैदान,,,,,,19.086717,72.891312,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1935,sheetal talav,,,,,,19.084125,72.88181,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1936,श्रीमती आनंदीबाई सुर्वे उद्यान,,,,,,19.102106,72.900255,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1937,साईबाबा पार्क,,,,,,19.100602,72.892938,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1938,"Late. Bacchu Khan Maidan,",,,,,,18.965281,72.831179,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1939,"Mastan Talav Maidan,",,,,,,18.9650277,72.8253854,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1940,"Lucky Compound, Maidan,",,,,,,18.974335,72.828797,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1941,"Tank Pakhadi Maidan,",,,,,,18.975693,72.829525,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
