facility_id,name,service_type,source_ward,gis_ward,nearest_gis_ward,quality_status,latitude,longitude
HC_00227,Oshiwara Maternity Home,maternity_hospital,KW,PS,"
    P/S
   ",ward_mismatch,19.15,72.85
HC_00236,"Maasaheb Meenatai Thackeray Maternity Home, Chunabhatti",maternity_hospital,L,KE,"
    K/E
   ",ward_mismatch,19.1315,72.8846
HC_00240,Matoshri Ramabai Thackeray Maternity Home Ghatkopar,maternity_hospital,N,MW,"
    M/W
   ",ward_mismatch,19.05,72.89
HC_00245,The Bai Sakarbai Dinshaw Petit Veterinary Hospital,veterinary_hospital,,FS,"
    F/S
   ",ward_mismatch,18.997713,72.843391
HC_00246,The Pet Vet,veterinary_hospital,,A,"
    A
   ",ward_mismatch,18.9304004,72.8274614
HC_00247,Bellevue Multispecialify Hospital,veterinary_hospital,,KW,"
    K/W
   ",ward_mismatch,19.1290806,72.831908
HC_00254,R S Nimkar UPHC,uphc,D,E,"
    E
   ",ward_mismatch,18.97,72.82
HC_00269,LBS Marg UPHC,uphc,FN,GN,"
    G/N
   ",ward_mismatch,19.03,72.85
HC_00274,Worli Koliwada UPHC,uphc,GS,,,outside_or_unmatched,18.9615,72.8517
HC_00286,Golibar UPHC,uphc,HE,HW,"
    H/W
   ",ward_mismatch,19.07,72.84
HC_00299,Nusserwanji Jahangirji Wadia UPHC,uphc,KW,KE,"
    K/E
   ",ward_mismatch,19.12,72.85
HC_00300,Oshiwara MH UPHC,uphc,KW,PS,"
    P/S
   ",ward_mismatch,19.15,72.85
HC_00301,Banana Leaf UPHC,uphc,KW,KE,"
    K/E
   ",ward_mismatch,19.13,72.85
HC_00302,Ram Mandir Road UPHC,uphc,PS,KW,"
    K/W
   ",ward_mismatch,19.15,72.84
HC_00303,Sundar Nagar UPHC,uphc,PS,S,"
    S
   ",ward_mismatch,19.1246,72.8962
HC_00315,New Centenary UPHC,uphc,RS,MW,"
    M/W
   ",ward_mismatch,19.05,72.91
HC_00335,Bibi Fatima UPHC,uphc,L,S,"
    S
   ",ward_mismatch,19.1192,72.92
HC_00341,Maasaheb Meenatai Thackeray MH UPHC,uphc,L,KE,"
    K/E
   ",ward_mismatch,19.1315,72.8846
HC_00345,Nehru Nagar UPHC,uphc,L,MW,"
    M/W
   ",ward_mismatch,19.06,72.89
HC_00346,Vashinaka UPHC,uphc,ME,L,"
    L
   ",ward_mismatch,19.09,72.89
HC_00360,Kamraj Nagar UPHC,uphc,N,KE,"
    K/E
   ",ward_mismatch,19.1315,72.8846
HC_00366,Sarvodaya Nagar UPHC,uphc,N,KE,"
    K/E
   ",ward_mismatch,19.1315,72.8846
HC_00374,Subhash Nagar UPHC,uphc,S,KE,"
    K/E
   ",ward_mismatch,19.1315,72.8846
HC_00385,Banganga HP,uphc,D,,,outside_or_unmatched,18.9615,72.8517
HC_00396,Gokhale Road HP.,uphc,GN,GS,"
    G/S
   ",ward_mismatch,19.02,72.83
HC_00410,Sunder Nagar H.P.,uphc,KE,PS,"
    P/S
   ",ward_mismatch,19.14,72.87
HC_00415,Bhardawadi H.P.,uphc,KW,KE,"
    K/E
   ",ward_mismatch,19.13,72.85
HC_00421,Pahadi HP,uphc,PS,PN,"
    P/N
   ",ward_mismatch,19.18,72.85
HC_00424,Dindoshi Vasahat H.P.,uphc,PN,PS,"
    P/S
   ",ward_mismatch,19.16,72.84
HC_00427,Centenary H.P.,uphc,RS,KE,"
    K/E
   ",ward_mismatch,19.13,72.88
HC_00429,Eksar Village H.P.,uphc,RC,RN,"
    R/N
   ",ward_mismatch,19.24,72.85
HC_00430,Borsapada H.P.,uphc,RC,RS,"
    R/S
   ",ward_mismatch,19.21,72.84
HC_00441,Centenary Hosp. HP,uphc,ME,MW,"
    M/W
   ",ward_mismatch,19.05,72.91
HC_00445,Tilak Nagar HP,uphc,MW,L,"
    L
   ",ward_mismatch,19.07,72.89
HC_00447,Subhash Nagar HP,uphc,MW,ME,"
    M/E
   ",ward_mismatch,19.06,72.91
HC_00448,Barve Nagar HP,uphc,N,L,"
    L
   ",ward_mismatch,19.1,72.9
HC_00449,Varsha Nagar HP,uphc,N,S,"
    S
   ",ward_mismatch,19.11,72.92
