ward_code,reconstruction_mse,reconstruction_mae,anomaly_percentile,anomaly_threshold_mse,anomaly_candidate
ME,0.493200453934983,0.6341633689903549,100.0,0.39619037958662423,True
D,0.47605724226998447,0.5379420735660891,95.83333333333334,0.39619037958662423,True
C,0.3969683676763528,0.42645082256256567,91.66666666666666,0.39619037958662423,True
B,0.3943750740439243,0.4104232418935515,87.5,0.39619037958662423,False
RC,0.3706530804317855,0.4571385593986697,83.33333333333334,0.39619037958662423,False
L,0.35324486180121006,0.4499399236037652,79.16666666666666,0.39619037958662423,False
RS,0.3413703713749195,0.4599122774941776,75.0,0.39619037958662423,False
S,0.31326428117501276,0.4368422348320753,70.83333333333334,0.39619037958662423,False
GN,0.27686199814151197,0.42658105490619436,66.66666666666666,0.39619037958662423,False
KW,0.2649694662072487,0.44930570698214967,62.5,0.39619037958662423,False
MW,0.2352379424562949,0.36307564619535804,58.333333333333336,0.39619037958662423,False
PN,0.23018301691155105,0.39454855251957255,54.166666666666664,0.39619037958662423,False
GS,0.22870120494286336,0.35946010381961524,50.0,0.39619037958662423,False
KE,0.21747638473063133,0.34752880081846665,45.83333333333333,0.39619037958662423,False
RN,0.21269012016995573,0.3595731613930744,41.66666666666667,0.39619037958662423,False
HW,0.20562898716827305,0.33324823426721467,37.5,0.39619037958662423,False
PS,0.20340204844915366,0.3574195751028317,33.33333333333333,0.39619037958662423,False
HE,0.2011399397290732,0.3402100338100523,29.166666666666668,0.39619037958662423,False
N,0.19292385681743793,0.3669434897131887,25.0,0.39619037958662423,False
FS,0.17502061687035,0.28665021378390526,20.833333333333336,0.39619037958662423,False
A,0.13175762115018416,0.2691033386922025,16.666666666666664,0.39619037958662423,False
T,0.1060101890880212,0.22569180419104048,12.5,0.39619037958662423,False
FN,0.0545987737261458,0.19546294484956375,8.333333333333332,0.39619037958662423,False
E,0.054194095552421995,0.2000798390263766,4.166666666666666,0.39619037958662423,False
