station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MM-020,Chhatrapati Shivaji Maharaj Terminus,छत्रपती शिवाजी महाराज टर्मिनस,Line 3; Line 11,Underground,Side and island,Operational,Transfer station to Chhatrapati Shivaji Maharaj Terminus,Metro,,Transfer station to Chhatrapati Shivaji Maharaj Terminus,18.939856,72.8355191,MATCHED,"Chhatrapati Shivaji Maharaj Terminus, CSMT, Bori Bunder, Fort, A Ward, Mumbai Zone 1, Mumbai, Mumbai City District, Maharashtra, 400038, India"
MM-021,Churchgate,चर्चगेट,Line 3,Underground,Island,Operational,Transfer station to Churchgate railway station,Metro,,Transfer station to Churchgate railway station,18.9354797,72.8271741,MATCHED,"Churchgate, Scarsdale Street, Churchgate, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400020, India"
MM-022,Cuffe Parade,कफ परेड,Line 3,Underground,Island,Operational,,Metro,,,18.9157866,72.8189036,MATCHED,"Cuffe Parade, Colaba, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400005, India"
MM-023,D N Nagar,डी.एन. नगर,Line 1,Elevated,Side,Operational,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Andheri West",Metro,,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Andheri West",19.1282826,72.8302354,MATCHED,"D. N. Nagar, Jai Prakash Road, Four Bungalows, Dadabhai Naoroji Nagar, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 402205, India"
MM-024,Dadar,दादर,Line 3,Underground,Island,Operational,,Metro,,,19.0192269,72.8428479,MATCHED,"Dadar, Ranade Road Extension, Dadar West, G/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400028, India"
MM-025,Dahanukarwadi,डहाणूकरवाडी,Line 2A,Elevated,Side,Operational,,Metro,,,19.2062315,72.8348068,MATCHED,"Dahanukarwadi, Link Road, Renuka Nagar, Kandivali West, R/S Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400067, India"
MM-026,Dahisar East,दहिसर (पूर्व),Line 2A; Line 9,Elevated,Side and island,Operational,,Metro,,,19.2599822,72.8598732,MATCHED,"THAKUR COLLEGE ARTS, DAHISAR EAST, Prataprao Gujjar Rd Road No 3, Avdhut Nagar, Dahisar East, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400068, India"
MM-027,Deonar,देवनार,Line 2B,Elevated,Side,Operational,,Metro,,,19.0475502,72.9051895,MATCHED,"Deonar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400012, India"
MM-028,"Deshbhakt N.G. Acharya Udyan-Diamond Garden, Chembur","देशभक्त ना.ग. आचार्य उद्यान-डायमंड गार्डन, चेंबूर",Line 2B,Elevated,Side,Operational,,Metro,,,,,NOT_FOUND,
MM-029,Devipada,देवीपाडा,Line 7,Elevated,Side,Operational,,Metro,,,19.2243339,72.864192,MATCHED,"Devipada, Western Express Highway, Devipada, Borivali East, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400066, India"
MM-030,Dharavi,धारावी,Line 3,Underground,Island,Operational,,Metro,,,19.044463,72.8586177,MATCHED,"Dharavi, Mumbai Zone 2, Mumbai City District, Maharashtra, India"
MM-031,Dindoshi,दिंडोशी,Line 7,Elevated,Side,Operational,,Metro,,,19.1740198,72.8695219,MATCHED,"Dindoshi, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400063, India"
MM-032,Eksar,एकसर,Line 2A,Elevated,Side,Operational,,Metro,,,19.2403773,72.8434456,MATCHED,"Eksar, Link Road, Ashtavinayak Nagar, Shimpoli, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400091, India"
MM-033,Ghatkopar,घाटकोपर,Line 1,Elevated,Island,Operational,Transfer station to Ghatkopar railway station,Metro,,Transfer station to Ghatkopar railway station,19.0856928,72.9083668,MATCHED,"Ghatkopar, Station Road, Kapol Wadi, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
MM-034,Girgaon,गिरगाव,Line 3,Underground,Island,Operational,,Metro,,,18.9609893,72.813628,MATCHED,"J Shankarsheth Marg, Gamdevi, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400036, India"
MM-035,Goregaon East,गोरेगाव (पूर्व),Line 7,Elevated,Side,Operational,,Metro,,,19.1692623,72.8552548,MATCHED,"Goregaon East, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400063, India"
MM-036,Goregaon West,गोरेगाव (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,,19.1633281,72.8411995,MATCHED,"Goregaon West, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400090, India"
MM-037,Grant Road,ग्रँट रोड,Line 3,Underground,Island,Operational,Transfer station to Grant Road railway station,Metro,,Transfer station to Grant Road railway station,18.9633549,72.8158261,MATCHED,"Grant Road, N Bharucha Marg, Gamdevi, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400036, India"
MM-038,Gundavali,गुंदवली,Line 7,Elevated,Side,Operational,"Interchange with Line 1 ""Blue Line (Mumbai Metro)"") on Western Express Highway",Metro,,"Interchange with Line 1 ""Blue Line (Mumbai Metro)"") on Western Express Highway",19.120531,72.855597,MATCHED,"Gundavali, Service Road, Malpa Dongri, Andheri East, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400069, India"
MM-039,Hutatma Chowk,हुतात्मा चौक,Line 3,Underground,Island,Operational,,Metro,,,18.9327405,72.8316318,MATCHED,"Hutatma Chowk, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India"
MM-040,Jagannath Shankar Sheth,जगन्नाथ शंकरशेठ,Line 3,Underground,Island,Operational,Transfer station to Mumbai Central railway station,Metro,,Transfer station to Mumbai Central railway station,18.9699801,72.8212029,MATCHED,"Jagannath Shankar Sheth Metro, Dr Anand Rao Nair Marg, Agripada, Tardeo, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India"
MM-041,Jagruti Nagar,जागृती नगर,Line 1,Elevated,Side,Operational,,Metro,,,19.0925442,72.9019518,MATCHED,"Jagruti Nagar, Sant Narsee Mehta Marg, Azad Nagar, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
MM-042,Jogeshwari East,जोगेश्वरी (पूर्व),Line 7,Elevated,Side,Operational,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on JVLR Junction",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on JVLR Junction",19.1429467,72.8551559,MATCHED,"Jogeshwari (East), Western Express Highway, Aarey Milk Colony, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400060, India"
MM-043,Kalbadevi,काळबादेवी,Line 3,Underground,Island,Operational,,Metro,,,18.9492575,72.8279382,MATCHED,"Kalbadevi, C Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400002, India"
MM-044,Kandarpada,कांदरपाडा,Line 2A,Elevated,Side,Operational,,Metro,,,19.2566384,72.8506245,MATCHED,"Rushi Sankul, Link Road, Kandarpada, Dahisar West, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400068, India"
