station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MM-094,Cadbury Junction,कॅडबरी जंक्शन,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-095,CGS Colony,सी.जी.एस. कॉलनी,Line 11,Underground,Island,Under construction,Transfer station to Bhakti Park monorail station,Metro,,Transfer station to Bhakti Park monorail station,19.0295314,72.8693989,MATCHED,"CGS Colony, Antop Hill, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
MM-096,Coal Bunder,कोळसा बंदर,Line 11,Underground,Island,Under construction,–,Metro,,–,18.9815598,72.8501568,MATCHED,"Coal Bunder, Fosbery Road, Sewri Dockyard, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400001, India"
MM-097,Crawford Market,क्रॉफर्ड मार्केट,Line 11,Underground,Island,Under construction,–,Metro,,–,18.9473499,72.8345108,MATCHED,"Crawford Market, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India"
MM-098,Dhamankar Naka,धामणकर नाका,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-099,Dombivali MIDC,डोंबिवली एमआयडीसी,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-100,Dongripada,डोंगरीपाडा,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-101,Durgadi Fort,दुर्गाडी किल्ला,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-102,Eastern Express Highway,पूर्व द्रुतगती महामार्ग,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.1693779,72.966883,MATCHED,"Eastern Express Highway, MHADA Colony, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
MM-103,ESIC Nagar,ई.एस.आय.सी. नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.116574,72.8298593,MATCHED,"ESIC Nagar, Kamalakar Pant Walawalkar Marg, Andheri West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400058, India"
MM-104,Gaimukh,गायमुख,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0150243,73.0155516,MATCHED,"Gaimukh Chowkh, Sector-44, Seawoods West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-105,Gaimukh Reti Bandar,गायमुख रेतीबंदर,Line 10,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-106,Gandhi Nagar (Kanjurmarg),गांधी नगर,Line 4,Elevated,Side,Under construction,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Kanjurmarg (West)_metro_station ""Kanjurmarg (West) metro station"") and Transfer station to Kanjur Marg railway station",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Kanjurmarg (West)_metro_station ""Kanjurmarg (West) metro station"") and Transfer station to Kanjur Marg railway station",,,NOT_FOUND,
MM-107,Ganesh Nagar (Kalyan),गणेश नगर (कल्याण),Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-108,Ganesh Nagar,गणेश नगर (वडाळा),Line 11,Underground,Island,Under construction,–,Metro,,–,19.1515483,72.9300624,MATCHED,"Ganesh Nagar, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
MM-109,Garodia Nagar,गरोडिया नगर,Line 4; Line 8,Elevated; underground,Side and island,Under construction,–,Metro,,–,19.0741334,72.9085221,MATCHED,"Garodia Nagar, Vidya Vihar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400077, India"
MM-110,Godrej Company,गोदरेज वसाहत,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1047588,72.921816,MATCHED,"Godrej Company (W), Lal Bahadur Shastri Marg, Pirojsha Godrej Nagar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400079, India"
MM-111,Golavali,गोळवली,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-112,Gopal Nagar,गोपाळ नगर,Line 5,Elevated,Side,Under construction,–,Metro,,–,19.0066978,72.8236294,MATCHED,"Gopal Nagar, Nehru Nagar, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400013, India"
MM-113,Govegaon MIDC,गोवेगाव एम.आय.डी.सी.,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-114,Gowniwada,गोवनीवाडा,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-115,Hay Bunder,हे बंदर,Line 11,Underground,Island,Under construction,–,Metro,,–,18.9902824,72.8543197,MATCHED,"Hay Bunder, Fosbery Road, Sewri Dockyard, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400001, India"
MM-116,Hedutane,हेदुटणे,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-117,Horniman Circle,हॉर्निमन सर्कल,Line 11,Underground,Island,Under construction,–,Metro,,–,18.9320095,72.8350198,MATCHED,"Horniman Circle, Kala Ghoda, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400038, India"
MM-118,IIT Powai,आय.आय.टी. पवई,Line 6,Elevated,Side,Under construction,–,Metro,,–,19.1326186,72.9149702,MATCHED,"Indian Institute of Technology Bombay, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
MM-119,ILFS,आय.एल. आणि एफ.एस.,Line 2B,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-120,Income Tax Office,आयकर कार्यालय,Line 2B,Elevated,Side,Under construction,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Bandra Kurla Complex",Metro,,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Bandra Kurla Complex",19.0589931,72.8547228,MATCHED,"Income Tax Office, Bandra Kurla Complex Road, Kalanagar, Bandra East, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400051, India"
MM-121,Indira Nagar (Vile Parle),इंदिरा नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.1028878,72.8368664,MATCHED,"Indira Nagar, Gulmohar Road, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400057, India"
MM-122,ISBT,आय.एस.बी.टी.,Line 8,Elevated,Side,Under construction,–,Metro,,–,19.0418711,72.8786654,MATCHED,"Inter State Bus Terminal-ISBT, Padmabushan Vasantdada Patil Marg, Anik Nagar, Wadala, F/N Ward, Mumbai Zone 2, Mumbai, Mumbai City District, Maharashtra, 400022, India"
MM-123,Jogeshwari (West),जोगेश्वरी (पश्चिम),Line 6,Elevated,Side,Under construction,Transfer station to Jogeshwari railway station,Metro,,Transfer station to Jogeshwari railway station,19.136394,72.8373817,MATCHED,"Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400047, India"
MM-124,Juinagar,जुईनगर,Line 8,Elevated,Side,Under construction,Transfer station to Juinagar railway station,Metro,,Transfer station to Juinagar railway station,19.0559456,73.0182495,MATCHED,"Juinagar, Juinagar Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-125,JVLR Junction,जे.व्ही.एल.आर.,Line 6,Elevated,Side,Under construction,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Jogeshwari East",Metro,,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Jogeshwari East",19.1254075,72.9244226,MATCHED,"Gandhinagar Junction Flyover, Ramabai Ambedkar Nagar, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
MM-126,Kalher,काल्हेर,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-127,Kalyan APMC,कल्याण ए.पी.एम.सी.,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-128,Kalyan Railway Station,कल्याण रेल्वे स्थानक,Line 12,Elevated,Side,Under construction,Transfer station to Kalyan Junction railway station,Metro,,Transfer station to Kalyan Junction railway station,,,NOT_FOUND,
MM-129,Kanjurmarg (West),कांजुर मार्ग,Line 6,Elevated,Side,Under construction,"Interchange with Line 4 ""Green Line (Mumbai Metro)"") on Gandhi Nagar (Kanjurmarg)_metro_station ""Gandhi Nagar (Kanjurmarg) metro station"") and Transfer station to Kanjur Marg railway station",Metro,,"Interchange with Line 4 ""Green Line (Mumbai Metro)"") on Gandhi Nagar (Kanjurmarg)_metro_station ""Gandhi Nagar (Kanjurmarg) metro station"") and Transfer station to Kanjur Marg railway station",19.1321315,72.9272826,MATCHED,"Dockyard kanjurmarg St, Lal Bahadur Shastri Marg, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India"
MM-130,Kapurbawdi,कापूरबावडी,Line 4; Line 5,Elevated,Side and island,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-131,Kasarvadavali,कासारवडवली,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-132,Kasheli,कशेळी,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-133,Kashimira,काशिमिरा,Line 10,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-134,Khira Nagar,खिरा नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.0883124,72.8369382,MATCHED,"Khira Nagar, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-135,Kolegaon,कोळेगाव,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-136,Kongaon,कोनगाव,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-137,Kurla,कुर्ला,Line 8,Underground,Island,Under construction,Transfer station to Kurla railway station,Metro,,Transfer station to Kurla railway station,19.0652797,72.8793805,MATCHED,"Kurla, Kurla FOB 4, Naware Baug Jagruti Nagar, Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-138,Kurla (East),कुर्ला (पूर्व),Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.0628944,72.8825604,MATCHED,"Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-139,Laxmi Nagar (Ghatkopar),लक्ष्मी नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0908037,72.9167981,MATCHED,"Laxmi Nagar, Ghatkopar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India"
MM-140,Lokmanya Tilak Terminus,लोकमान्य टिळक टर्मिनस,Line 8,Underground,Island,Under construction,Transfer station to Lokmanya Tilak Terminus,Metro,,Transfer station to Lokmanya Tilak Terminus,19.0694658,72.8919779,MATCHED,"Lokmanya Tilak Terminus, Lokmanya Tilak Terminus Road, Vidya Vihar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-141,LP,एल.पी.,Line 8,Elevated,Side,Under construction,–,Metro,,–,19.1171929,72.9142035,MATCHED,"Loop Road, Hiranandani Gardens, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
MM-142,Mahakali Caves,महाकाली गुहा,Line 6,Elevated,Side,Under construction,–,Metro,,–,19.1306093,72.8738165,MATCHED,"Mahakali Caves, Mahakali Caves Road, Takshila Colony, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400096, India"
MM-143,Mahapalika Marg,महापालिका मार्ग,Line 4,Elevated,Side,Under construction,–,Metro,,–,18.9429649,72.8314839,MATCHED,"St.Xavier's College, 5, Mahapalika Marg, Dhobi Talao, Corporation Street, Bori Bunder, Fort, A Ward, Mumbai Zone 1, Mumbai, Mumbai City District, Maharashtra, 400001, India"
MM-144,Majiwada,माजिवडा,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-145,Manpada (Dombivali East),मानपाडा (डोंबिवली),Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-146,Manpada (Thane),मानपाडा (ठाणे),Line 4,Elevated,Side,Under construction,–,Metro,,–,19.2356062,72.9583946,MATCHED,"Manpada Waterfall मानपाडा वॉटरफॉल, Thane-Borivali Twin Tunnel, Yeoor, Mumbai Zone 4, Thane, Thane Subdistrict, Thane, Maharashtra, 200014, India"
MM-147,Deepak Hospital (Medtiya Nagar),मेडतिया नगर,Line 9,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-148,MTNL,एम.टी.एन.एल.,Line 2B,Elevated,Side,Under construction,–,Metro,,–,18.9333205,72.8308465,MATCHED,"MTNL, Mahatma Gandhi Road, Kala Ghoda, Fort, A Ward, Mumbai Zone 1, Mumbai, Mumbai City District, Maharashtra, 400001, India"
MM-149,Mulund Fire Station,मुलुंड अग्निशमन केंद्र,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1757013,72.9425157,MATCHED,"Mulund Fire Station, Lal Bahadur Shastri Marg, Veer Sambhaji Nagar, Mulund Colony, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400082, India"
MM-150,Mulund Naka,मुलुंड नाका,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1836341,72.9545197,MATCHED,"Mulund Octroi Naka, Mulund West, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-151,Nagpada Junction,नागपाडा जंक्शन,Line 11,Underground,Island,Under construction,–,Metro,,–,18.966683,72.8287414,MATCHED,"Nagpada Junction, Maulana Azad Road (Duncan Road), Kamathipura, Nagpada, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India"
MM-152,Nanavati Hospital,नानावटी रुग्णालय,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.1002773,72.8395808,MATCHED,"Nanavati Hospital, Swami Vivekanand Road, JEEVAN SHANTI COLONY, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400057, India"
MM-153,Navi Mumbai International Airport West,नवी मुंबई आंतरराष्ट्रीय विमानतळ पश्चिम,Line 8,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-154,Navi Mumbai International Airport Terminal 2,नवी मुंबई आंतरराष्ट्रीय विमानतळ टर्मिनल २,Line 8,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-155,National College (Bandra),राष्ट्रीय महाविद्यालय,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.0648223,72.8373113,MATCHED,"National College, Swami Vivekanand Road, Linking Road Shopping area, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-156,Naval Housing,नौदल गृहनिर्माण,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1320841,72.923492,MATCHED,"Naval Civillian Housing Colony, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-157,Nerul,नेरूळ,Line 8,Elevated,Side,Under construction,Transfer station to Nerul railway station,Metro,,Transfer station to Nerul railway station,19.0335938,73.018164,MATCHED,"Nerul, Mata Amritanandamayi Marg, Nerul Village, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-158,Nilaje Gaon,निळजे गाव,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-159,Pant Nagar,पंत नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0833305,72.9115042,MATCHED,"Pant Nagar, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India"
MM-160,Phoenix Mall,फिनिक्स मॉल,Line 8,Underground,Island,Under construction,–,Metro,,–,19.0862777,72.8892153,MATCHED,"Phoenix Marketcity Kurla, Lal Bahadur Shastri Marg, Sunder Baug, Asalpha, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400070, India"
MM-161,Pisarve,पिसार्वे,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-162,Pisarve Depot,पिसार्वे डेपो,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-163,Pisavali Gaon,पिसवली गाव,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-164,Powai Lake,पवई तलाव,Line 6,Elevated,Side,Under construction,–,Metro,,–,19.1277203,72.9062142,MATCHED,"Powai Lake, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
MM-165,Prem Nagar,प्रेम नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.1092295,72.8396305,MATCHED,"Prem Nagar, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-166,Purna,पूर्णा,Line 5,Elevated,Side,Under construction,–,Metro,,–,19.1040963,72.8362766,MATCHED,"Purna Urmi, N. S. Road No. 2, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400056, India"
MM-167,Rajnouli Village,रांजणोली,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-168,Rambaug (Powai),रामबाग,Line 6,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-169,Reay Road,रे रोड,Line 11,Underground,Island,Under construction,Transfer station to Reay Road railway station,Metro,,Transfer station to Reay Road railway station,18.9775506,72.8441011,MATCHED,"Reay Road, Barrister Nath Pai Marg, Anjeer Wadi, Darukhana, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400027, India"
MM-170,RTO Thane,आर.टी.ओ. ठाणे,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0780655,73.0059891,MATCHED,"RTO Ground, Turbhe, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India"
MM-171,SG Barve Marg,एस.जी. बर्वे मार्ग,Line 2B; Line 8,Elevated; underground,Side and island,Under construction,–,Metro,,–,19.0609334,72.8844893,MATCHED,"SG Barve Marg, Nehru Nagar, Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-172,Sagaon,सागाव,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-173,Sagar Sangam,सागरसंगम,Line 8,Elevated,Side,Under construction,–,Metro,,–,19.0466943,72.8268434,MATCHED,"Sagar Sangam, 28, Padmabhushan Jagjit Singh Chowk, Mount Mary, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-174,Sahajanand Chowk,सहजानंद चौक,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-175,Sai Baba Nagar,साई बाबा नगर,Line 9,Elevated,Side,Under construction,–,Metro,,–,19.0627075,72.8910418,MATCHED,"Sai Baba Nagar, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-176,Saki Vihar Road,साकी विहार,Line 6,Elevated,Side,Under construction,–,Metro,,–,19.1285833,72.8958527,MATCHED,"Saki Vihar Road, Paspoli Village, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400087, India"
MM-177,Sanpada,सानपाडा,Line 8,Elevated,Side,Under construction,Transfer station to Sanpada railway station,Metro,,Transfer station to Sanpada railway station,19.0659774,73.0095329,MATCHED,"Sanpada, Sanpada Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-178,Saraswat Nagar,सारस्वत नगर,Line 2B,Elevated,Side,Under construction,–,Metro,,–,19.0746681,72.8375532,MATCHED,"Saraswat Nagar, Swami Vivekanand Road, Ram Krishna Nagar, Santacruz West, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400052, India"
MM-179,Seawoods,सीवूड्स,Line 8,Elevated,Side,Under construction,Transfer station to Seawoods-Darave-Karave railway station,Metro,,Transfer station to Seawoods-Darave-Karave railway station,19.0216748,73.0186236,MATCHED,"Seawoods Grand Central Mall, Seawoods, Seawoods Station Road, Sector-42, Seawoods East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-180,SEEPZ Village,सीप्झ गाव,Line 6,Elevated,Side,Under construction,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Aarey JVLR",Metro,,"Interchange with Line 3 ""Aqua Line (Mumbai Metro)"") on Aarey JVLR",19.1304889,72.8749334,MATCHED,"SEEPZ Village Bus Stn(Temporary), SEEPZ VILLAGE, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-181,Sewri,शिवडी,Line 11,Underground,Island,Under construction,Transfer station to Sewri railway station,Metro,,Transfer station to Sewri railway station,18.9987796,72.8544218,MATCHED,"Sewri, Eastern Freeway, Sadbhavana Nagar, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400015, India"
MM-182,Shahid Bhagat Singh Garden,शहीद भगतसिंग उद्यान,Line 9,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-183,Shangrila,शांग्रीला,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0627427,72.8321013,MATCHED,"Shangrila, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-184,Shivaji Chowk (Mira Road),शिवाजी चौक (मीरा रोड),Line 10; Line 13,Elevated,Side and island,Under construction,"Interchange with Line 9 ""Red Line (Mumbai Metro)"") on Miragaon",Metro,,"Interchange with Line 9 ""Red Line (Mumbai Metro)"") on Miragaon",,,NOT_FOUND,
MM-185,Shreyas Cinema,श्रेयस सिनेमा,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0929825,72.9123967,MATCHED,"Shreyas Cinema, Lal Bahadur Shastri Marg, Damodar Park, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India"
MM-186,Shyam Nagar (Mumbai),श्याम नगर (मुंबई),Line 6,Elevated,Side,Under construction,–,Metro,,–,19.137156,72.8614676,MATCHED,"Shyam Nagar, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400060, India"
MM-187,Siddharth Colony,सिद्धार्थ वसाहत,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0578284,72.8920609,MATCHED,"Siddharth Colony, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-188,Sonapur,सोनापूर,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1628583,72.934172,MATCHED,"Sonapur, Nahur, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400082, India"
MM-189,Sonarpada,सोनारपाडा,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-190,SPM Circle,एस.पी.एम. सर्कल,Line 11,Underground,Island,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-191,Subhash Chandra Bose Stadium,सुभाषचंद्र बोस स्टेडियम,Line 9,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-192,Suman Nagar,सुमन नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0530165,72.8837675,MATCHED,"Suman Nagar, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-193,Surya Nagar,सूर्य नगर,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1190441,72.9234984,MATCHED,"Surya Nagar, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
MM-194,Swami Samarth Nagar (Lokhandwala),स्वामी समर्थ नगर,Line 6,Elevated,Side,Under construction,–,Metro,,–,19.142681,72.8262715,MATCHED,"Basera Air India, 1st Cross Road, Lokhandwala Complex, Oshiwara, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400053, India"
MM-195,Taloja,तळोजा,Line 12,Elevated,Side,Under construction,"Interchange with Line 1 (Navi Mumbai Metro) ""Line 1 (Navi Mumbai Metro)"") on Panchanand metro station",Metro,,"Interchange with Line 1 (Navi Mumbai Metro) ""Line 1 (Navi Mumbai Metro)"") on Panchanand metro station",,,NOT_FOUND,
MM-196,Targhar,तरघर,Line 8,Elevated,Side,Under construction,Transfer station to Targhar railway station,Metro,,Transfer station to Targhar railway station,18.9901343,73.0344023,MATCHED,"Targhar, NMIA West Entry Road, Moha Village, Targhar, Navi Mumbai, Panvel Subdistrict, Raigad, Maharashtra, 400706, India"
MM-197,Teen Haath Naka (Thane),तीन हात नाका,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-198,Temghar,टेमघर,Line 5,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-199,Tikuji-ni-wadi,टिकुजी-नी-वाडी,Line 4,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-200,Turbhe,तुर्भे,Line 12,Elevated,Side,Under construction,–,Metro,,–,19.0761648,73.0176615,MATCHED,"Turbhe, Turbhe Station Road, Turbhe, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India"
MM-201,Vadavali,वडवली,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-202,Varsova Char Phata,वर्सोवा चार फाटा,Line 10,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-203,Vashi,वाशी,Line 8,Elevated,Side,Under construction,Transfer station to Vashi railway station,Metro,,Transfer station to Vashi railway station,19.0632481,72.9987966,MATCHED,"Vashi, Vashi Station Road, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India"
MM-204,Vijay Garden,विजय गार्डन,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.1711785,72.9522552,MATCHED,"Vijay Nagar Garden, Mulund West, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400080, India"
MM-205,Vikhroli EEH,विक्रोळी ई.इ.एच.,Line 6; Line 14,Elevated,Side and island,Under construction,–,Metro,,–,,,NOT_FOUND,
MM-206,Vikhroli,विक्रोळी,Line 4,Elevated,Side,Under construction,Transfer station to Vikhroli railway station,Metro,,Transfer station to Vikhroli railway station,19.1114795,72.928021,MATCHED,"Vikhroli, P. Soman Marg, Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
MM-207,Waklan,वाकळण,Line 12,Elevated,Side,Under construction,–,Metro,,–,,,NOT_FOUND,
MONO-001,Chembur,चेंबूर,Mumbai Monorail Line 1,,,Opened,Harbour / Chembur Railway Station,Monorail,2 February 2014,Harbour / Chembur Railway Station,19.054818,72.8979713,MATCHED,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
