pseudocode,student_boys,student_girls,student_total,girls_share_pct,teachers_total,teachers_male,teachers_female,teacher_student_ratio,female_teacher_share_pct,classrooms_good,classrooms_minor_repair,classrooms_major_repair,classrooms_total_observed,classrooms_repair_pct,boys_toilets,boys_functional_toilets,girls_toilets,girls_functional_toilets,functional_toilets_total,electricity_available,library_available,playground_available,ramps_available,handrails_available,computer_ict_lab_available,ict_lab_available,internet_available,cwsn_boys_toilets,cwsn_girls_toilets,cwsn_toilets_total
7567947,339.0,345.0,684.0,50.43859649122807,13,9,4,52.61538461538461,30.76923076923077,18,0,0,18,0.0,4,4,4,4,8,1,1,1,1,1,2,2,1,1,1,2
7574188,1.0,0.0,1.0,0.0,3,2,1,0.3333333333333333,33.33333333333333,6,0,0,6,0.0,3,3,3,3,6,1,1,1,1,1,1,2,2,1,1,2
7580941,251.0,215.0,466.0,46.137339055793994,11,3,8,42.36363636363637,72.72727272727273,11,0,0,11,0.0,2,2,3,3,5,1,1,1,1,1,2,2,1,1,2,3
7581406,127.0,72.0,199.0,36.18090452261307,6,0,6,33.166666666666664,100.0,4,0,0,4,0.0,4,4,2,2,6,1,1,1,1,2,1,9,1,1,1,2
7587237,27.0,37.0,64.0,57.8125,4,2,2,16.0,50.0,3,0,0,3,0.0,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2
7587876,37.0,39.0,76.0,51.31578947368421,3,0,3,25.333333333333332,100.0,6,0,0,6,0.0,2,2,2,2,4,1,1,1,1,1,1,9,1,1,1,2
7590464,84.0,59.0,143.0,41.25874125874126,4,0,4,35.75,100.0,5,0,0,5,0.0,8,8,8,8,16,1,1,1,1,1,1,9,1,1,1,2
7592471,645.0,560.0,1205.0,46.47302904564315,29,0,29,41.55172413793103,100.0,24,0,0,24,0.0,4,4,4,4,8,1,1,1,1,1,1,9,1,1,1,2
7593126,32.0,58.0,90.0,64.44444444444444,5,0,5,18.0,100.0,6,0,0,6,0.0,2,2,2,2,4,1,1,1,1,2,1,9,1,1,1,2
7597174,114.0,143.0,257.0,55.6420233463035,11,2,9,23.363636363636363,81.81818181818183,12,0,0,12,0.0,3,3,2,2,5,1,1,1,1,1,1,2,1,0,1,1
7599751,211.0,249.0,460.0,54.130434782608695,11,3,8,41.81818181818182,72.72727272727273,0,9,0,9,100.0,2,2,2,2,4,1,2,2,2,9,2,2,1,0,1,1
7600716,341.0,368.0,709.0,51.90409026798307,19,4,15,37.31578947368421,78.94736842105263,9,0,0,9,0.0,4,4,4,4,8,1,1,1,1,1,1,2,1,1,1,2
7602438,79.0,61.0,140.0,43.57142857142857,7,0,7,20.0,100.0,9,0,0,9,0.0,2,2,2,2,4,1,1,1,2,9,2,9,1,0,0,0
7611503,7.0,6.0,13.0,46.15384615384615,1,0,1,13.0,100.0,3,0,0,3,0.0,2,2,2,2,4,1,1,1,1,1,2,2,1,1,1,2
7611861,32.0,27.0,59.0,45.76271186440678,2,0,2,29.5,100.0,4,0,0,4,0.0,4,4,4,4,8,1,1,1,1,1,1,9,1,1,1,2
7616889,84.0,57.0,141.0,40.42553191489361,5,0,5,28.2,100.0,7,0,0,7,0.0,2,2,2,2,4,1,1,1,1,1,1,9,1,1,1,2
7619896,263.0,367.0,630.0,58.25396825396826,16,8,8,39.375,50.0,2,18,0,20,90.0,4,4,4,4,8,1,1,1,1,1,1,1,1,1,1,2
7622081,157.0,71.0,228.0,31.140350877192986,5,0,5,45.6,100.0,5,0,0,5,0.0,8,8,12,12,20,1,1,1,1,1,1,9,1,1,1,2
7624921,179.0,146.0,325.0,44.92307692307692,6,0,6,54.166666666666664,100.0,8,0,0,8,0.0,2,2,3,3,5,1,1,1,1,2,1,9,1,1,1,2
7630690,4.0,4.0,8.0,50.0,2,0,2,4.0,100.0,4,0,0,4,0.0,1,1,1,1,2,1,1,1,1,1,1,9,1,1,1,2
7632913,45.0,64.0,109.0,58.71559633027523,8,4,4,13.625,50.0,6,0,0,6,0.0,8,8,8,8,16,1,1,1,1,1,2,2,1,1,1,2
7634595,431.0,307.0,738.0,41.59891598915989,13,1,12,56.76923076923077,92.3076923076923,12,0,0,12,0.0,8,8,8,8,16,1,1,1,1,1,1,9,1,1,1,2
7635140,100.0,78.0,178.0,43.82022471910113,7,4,3,25.428571428571427,42.857142857142854,0,0,8,8,100.0,4,4,4,4,8,1,1,1,1,1,2,2,1,1,0,1
7636268,29.0,15.0,44.0,34.090909090909086,4,0,4,11.0,100.0,6,0,0,6,0.0,4,4,4,4,8,1,1,1,1,1,1,9,1,1,0,1
7637542,273.0,309.0,582.0,53.09278350515464,18,6,12,32.333333333333336,66.66666666666666,0,0,22,22,100.0,4,4,3,3,7,1,1,1,1,1,1,1,1,1,1,2
7638126,589.0,0.0,589.0,0.0,17,0,17,34.64705882352941,100.0,16,0,0,16,0.0,10,10,0,0,10,1,1,1,1,1,1,9,1,16,0,16
7638187,191.0,199.0,390.0,51.02564102564102,14,5,9,27.857142857142858,64.28571428571429,7,0,0,7,0.0,2,2,3,3,5,1,1,1,1,1,2,2,2,1,1,2
7640377,34.0,46.0,80.0,57.49999999999999,4,1,3,20.0,75.0,6,0,0,6,0.0,3,3,6,6,9,1,1,1,1,1,2,2,1,1,1,2
7642022,55.0,43.0,98.0,43.87755102040816,4,1,3,24.5,75.0,18,0,0,18,0.0,4,4,3,3,7,1,1,1,1,1,1,2,1,1,1,2
7644398,180.0,184.0,364.0,50.54945054945055,7,3,4,52.0,57.14285714285714,11,0,0,11,0.0,4,4,3,3,7,1,1,1,1,1,2,2,1,1,0,1
7644865,12.0,13.0,25.0,52.0,2,1,1,12.5,50.0,4,0,0,4,0.0,3,3,3,3,6,1,1,1,1,1,2,9,1,1,1,2
