scenario,ward_code,baseline_pressure,scenario_pressure,pressure_change,healthcare_change,education_change,sanitation_change,safety_change,transport_change,civic_change,green_space_change
resolution_time_minus_20,PN,60.20374552983248,60.20374552983248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,B,60.14943691574127,60.14943691574127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,RC,49.181253529079605,49.181253529079605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,KE,41.87841144362883,41.87841144362883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,L,50.741890959282266,50.741890959282266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,S,48.925983436853,48.925983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,RN,38.31462921136834,38.31462921136834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,KW,67.674807076981,67.674807076981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,A,41.607456553108726,41.607456553108726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,C,55.249309868875095,55.249309868875095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,D,48.277809147374356,48.277809147374356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,FS,46.701879038835564,46.701879038835564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
