openaq_location_id,station_name,urban_ward_code,provider,sensor_id,parameter_name,parameter_display,parameter_units,sensor_name,sensor_units,source
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238410,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238411,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238412,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238413,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,12238414,temperature,Temperature (C),c,temperature c,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,14341586,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409486,"Kherwadi_Bandra East, Mumbai - MPCB",HE,CPCB,14341587,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236389,co,CO,ppb,co ppb,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,40636,co,CO mass,µg/m³,co µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236390,no,NO,ppb,no ppb,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236391,no2,NO₂,ppb,no2 ppb,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,40639,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,14342056,nox,NOX,ppb,nox ppb,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236392,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,40634,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236393,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,40615,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236394,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,40608,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236395,relativehumidity,RH,%,relativehumidity %,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236396,so2,SO₂,ppb,so2 ppb,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,40617,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,12236397,temperature,Temperature (C),c,temperature c,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,14342057,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,CPCB,14342058,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235829,co,CO,ppb,co ppb,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,19993,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235830,no,NO,ppb,no ppb,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235831,no2,NO₂,ppb,no2 ppb,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,20076,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,14340922,nox,NOX,ppb,nox ppb,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235832,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,19968,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235833,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,19975,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235834,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,19978,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235835,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12289836,so2,SO₂,ppb,so2 ppb,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,19987,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,12235836,temperature,Temperature (C),c,temperature c,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,14340923,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,14340924,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236421,co,CO,ppb,co ppb,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,39458,co,CO mass,µg/m³,co µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236422,no,NO,ppb,no ppb,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236423,no2,NO₂,ppb,no2 ppb,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,39456,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,14341021,nox,NOX,ppb,nox ppb,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236424,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,39459,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236425,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,39455,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236426,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,39454,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236427,relativehumidity,RH,%,relativehumidity %,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236428,so2,SO₂,ppb,so2 ppb,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,39457,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,12236429,temperature,Temperature (C),c,temperature c,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,14342063,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,14342064,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238343,co,CO,ppb,co ppb,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238344,no,NO,ppb,no ppb,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238345,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,14341564,nox,NOX,ppb,nox ppb,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238346,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238347,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238348,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238349,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238350,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,12238351,temperature,Temperature (C),c,temperature c,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,14341565,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,14341566,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236476,co,CO,ppb,co ppb,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,40609,co,CO mass,µg/m³,co µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236477,no,NO,ppb,no ppb,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236478,no2,NO₂,ppb,no2 ppb,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,40612,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,14342082,nox,NOX,ppb,nox ppb,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236479,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,40644,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236480,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,40628,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236481,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,40641,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236482,relativehumidity,RH,%,relativehumidity %,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236483,so2,SO₂,ppb,so2 ppb,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,40640,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,12236484,temperature,Temperature (C),c,temperature c,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,14342083,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,14342084,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
8039,Mumbai,L,AirNow,23320,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235891,co,CO,ppb,co ppb,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,20125,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235892,no,NO,ppb,no ppb,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235893,no2,NO₂,ppb,no2 ppb,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,20083,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,14340934,nox,NOX,ppb,nox ppb,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235894,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,20054,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235895,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,20010,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235896,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,20079,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235897,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235898,so2,SO₂,ppb,so2 ppb,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,20101,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,12235899,temperature,Temperature (C),c,temperature c,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,14340935,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6956,"Powai, Mumbai - MPCB",S,CPCB,14340936,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238589,co,CO,ppb,co ppb,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238590,no,NO,ppb,no ppb,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238591,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,14342264,nox,NOX,ppb,nox ppb,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238592,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238593,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238594,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238595,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238596,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,12238597,temperature,Temperature (C),c,temperature c,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,14342265,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409513,"Sewri, Mumbai - BMC",FS,CPCB,14342266,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238571,co,CO,ppb,co ppb,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238572,no,NO,ppb,no ppb,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238573,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,14341642,nox,NOX,ppb,nox ppb,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238574,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238575,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238576,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238577,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238578,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,12238579,temperature,Temperature (C),c,temperature c,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,14341643,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409511,"Shivaji Nagar, Mumbai - BMC",ME,CPCB,14341644,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236430,co,CO,ppb,co ppb,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,20029,co,CO mass,µg/m³,co µg/m³,,OpenAQ
60661,"Siddharth Nagar-Worli, Mumbai - IITM",GS,caaqm,389760,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236431,no,NO,ppb,no ppb,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236432,no2,NO₂,ppb,no2 ppb,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,20030,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
60661,"Siddharth Nagar-Worli, Mumbai - IITM",GS,caaqm,389767,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,14342065,nox,NOX,ppb,nox ppb,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236433,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,20031,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
60661,"Siddharth Nagar-Worli, Mumbai - IITM",GS,caaqm,389777,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236434,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,20032,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
60661,"Siddharth Nagar-Worli, Mumbai - IITM",GS,caaqm,389771,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236435,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,20033,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
60661,"Siddharth Nagar-Worli, Mumbai - IITM",GS,caaqm,389761,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236436,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,20034,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,12236437,temperature,Temperature (C),c,temperature c,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,14342066,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6959,"Siddharth Nagar-Worli, Mumbai - IITM",GS,CPCB,14342067,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243925,co,CO,ppb,co ppb,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,20109,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243926,no,NO,ppb,no ppb,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243927,no2,NO₂,ppb,no2 ppb,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,20107,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,14340938,nox,NOX,ppb,nox ppb,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243928,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,20098,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243929,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,20097,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243930,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,20096,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243931,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243932,so2,SO₂,ppb,so2 ppb,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,20095,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,12243933,temperature,Temperature (C),c,temperature c,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,14340939,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6967,"Sion, Mumbai - MPCB",FN,CPCB,14340940,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235846,co,CO,ppb,co ppb,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,20236,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235847,no,NO,ppb,no ppb,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235848,no2,NO₂,ppb,no2 ppb,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,20239,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,14340925,nox,NOX,ppb,nox ppb,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235849,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,20240,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235850,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,20243,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235851,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,20251,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235852,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235853,so2,SO₂,ppb,so2 ppb,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,20254,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,12235854,temperature,Temperature (C),c,temperature c,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,14340926,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6987,"Vile Parle West, Mumbai - MPCB",KW,CPCB,14340927,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235909,co,CO,ppb,co ppb,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235910,no,NO,ppb,no ppb,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235911,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,14341954,nox,NOX,ppb,nox ppb,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235912,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235913,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235914,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235915,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235916,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,12235917,temperature,Temperature (C),c,temperature c,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,14341955,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409323,"Worli, Mumbai - MPCB",GS,CPCB,14341956,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
