openaq_location_id,station_name,urban_ward_code,provider,sensor_id,parameter_name,parameter_display,parameter_units,sensor_name,sensor_units,source
11606,"Borivali East, Mumbai - IITM",RC,CPCB,39428,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236419,relativehumidity,RH,%,relativehumidity %,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236420,temperature,Temperature (C),c,temperature c,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,14342059,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,14342060,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252653,co,CO,ppb,co ppb,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,20075,co,CO mass,µg/m³,co µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252654,no,NO,ppb,no ppb,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252655,no2,NO₂,ppb,no2 ppb,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,20081,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,14341949,nox,NOX,ppb,nox ppb,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252656,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,20084,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252657,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,20085,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252658,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,20087,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252659,relativehumidity,RH,%,relativehumidity %,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252660,so2,SO₂,ppb,so2 ppb,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,20090,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,12252661,temperature,Temperature (C),c,temperature c,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,14341950,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
6965,"Borivali East, Mumbai - MPCB",RC,CPCB,14341951,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238562,co,CO,ppb,co ppb,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238563,no,NO,ppb,no ppb,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238564,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,14341639,nox,NOX,ppb,nox ppb,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238565,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238566,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238567,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238568,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238569,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409510,"Byculla, Mumbai - BMC",E,CPCB,12238570,temperature,Temperature (C),c,temperature c,,OpenAQ
