ward_code,population_2011,population_density_per_sq_km,area_sq_km,udise_city_schools,students_total,teachers_total,teacher_student_ratio,classrooms_repair_pct,girls_share_pct,healthcare_facilities,hospitals,dispensaries,uphcs,complaints_received_2024,unresolved_complaints_2024,closure_pct_2024,avg_resolution_days_2024,green_space_count,green_space_share_pct,green_spaces_per_km2,bus_stop_count,railway_station_count,metro_station_count,monorail_station_count,total_public_transport_nodes,public_toilet_count,facilities_per_10000_population,fire_station_count,police_station_count
A,-1.4707574435258746,-1.027538642155314,-0.6296231825466785,-0.6156952057606162,-0.4021258482010502,-0.15904480959611716,1.2390897285828488,2.119671203181846,0.47427202770627713,-0.879465447462543,2.655828000947669,-0.9722642975902578,-1.3139711181555271,-1.0387931270086384,0.747306149641983,-1.931914791404938,1.1633157265460985,-0.8199643326371601,-0.8199643326371602,-0.3733276676842544,0.37952775309982445,-0.15393726795176993,0.8036540752161125,-0.4444539377736018,0.3875016496770812,-0.8246729028728567,-0.4212868109710729,2.886751345948129,1.4501047335684953
B,-1.7253866165829475,0.6727079789539097,-1.2588018376287857,-1.6049293438864596,-1.4536758632072526,-1.5804382827698067,-0.5869175958402767,-1.0625832052439055,2.042534054294001,-1.902843422691684,-1.266625661990427,-1.5086859790193656,-1.5441558395842327,-1.16076238351595,0.8943806443492529,-2.406651531954957,1.9579906061601315,-1.5618368240707812,-1.5618368240707812,-1.4008315573539416,-2.202759808188686,-0.15393726795176993,-1.4218495176900452,-0.4444539377736018,-2.205778621238769,-0.9858673508313965,-1.3262361335390824,0.5773502691896258,-0.4833682445228318
C,-1.5539208382948613,2.7843006390029514,-1.313631387962324,-1.72858361115219,-1.646656201755426,-1.828681649915634,-1.8394735602048857,2.785094304468842,-1.1841496071048219,-0.1119319660406873,0.6946011694786212,1.1734224281261731,-1.3139711181555271,-0.6125495018740436,-0.5047622460896434,0.33627185788959674,-0.531990683297172,-1.4446990622654725,-1.4446990622654727,-0.14947025614853973,-2.010051781226857,-0.892836154120265,-0.9272931637108991,-0.4444539377736018,-2.026931706003193,-0.9985100526320664,-1.6780388295789357,-1.7320508075688774,-1.2567574357593625
D,-0.7568041326390095,0.3419505323815123,-0.8435481927382549,-0.12107813669769452,-0.5971597019011765,-0.3498985811114576,1.5373059746715219,-0.44127790244602744,1.9803652051032892,-1.7749211757880414,-1.266625661990427,-1.5086859790193656,-1.3139711181555271,-0.6878071282296189,-0.895670771495808,0.9165056518951754,-1.1677305869883985,-0.4295051266194648,-0.4295051266194649,0.9616813993623302,0.032653304568532035,0.5849616182167252,-0.9272931637108991,-0.4444539377736018,0.029807819205929433,-0.8120302010721869,-1.371009169570134,-0.5773502691896258,0.29002094671369905
E,-0.552038589480023,1.0491310483498881,-0.9266533686665044,-0.863003740292077,-0.42771965899734304,-0.7222636318301988,-1.5502719924071398,-0.8254140971671186,-0.5172486591058018,0.5276792684775258,1.6752145852131453,1.1734224281261731,-0.16304751101199985,0.08488108719702082,0.23254541816653848,-0.2967104628437618,2.063947256775336,-0.19522960300884765,-0.19522960300884803,1.9874169917826652,-0.5197763727220448,1.3238605043852203,-0.4327368097317529,0.1830104449656007,-0.49395814684111417,-0.8594403328246987,-1.5342213716553426,-0.5773502691896258,0.6767155423319645
FN,0.04676608421118957,0.308216856424651,-0.5086553031809105,0.311711798732362,0.6477212518010937,0.5763427995294255,-0.5153231080421472,-1.0625832052439055,0.5396422855281672,-0.2398542129443299,0.6946011694786212,-0.16763177544659616,-0.3932322324407053,-0.3757474879103799,-0.573461516643697,0.49451743807293636,0.05077089508645224,-0.8980561738406991,-0.8980561738406994,-0.6534197179285586,1.009040641175133,0.5849616182167252,-0.9272931637108991,3.9477967414008157,1.0262406326612807,-0.47699860335443744,-0.265422705303806,1.7320508075688774,1.4501047335684953
FS,-0.6945804628458027,0.059268179512556814,-0.7280029352989249,-0.8939173071085097,-1.2677075276169678,-1.2708013947169465,0.7857202557769452,0.653194517271361,-2.085974505328141,0.015990280862955328,0.6946011694786212,0.1005790652679577,-0.3932322324407053,-1.3151702720730787,-0.907281915814803,0.8110085984396156,-0.26709905675916096,-1.483744982867242,-1.4837449828672422,-1.4536054179069278,-0.7895676104686056,0.5849616182167252,-0.4327368097317529,0.8104748277048032,-0.787778079013846,-0.7014065603163262,-0.6750254258298582,0.5773502691896258,0.6767155423319645
GN,0.355568579877817,1.9814375257714554,-0.8425622614789025,-0.36838667122915536,-0.6646251875031463,-0.7089172142417135,-0.15181995646167432,-0.4883464859913212,-1.8585508419764687,0.015990280862955328,-1.266625661990427,0.3687899059825116,0.06713721041670563,0.22242088708824467,0.09804966313817984,-0.0857163559326423,0.527575822854872,-1.2104235386548554,-1.2104235386548554,-0.7977643137610244,-0.40415155654494733,2.8016582767222102,-0.9272931637108991,-0.4444539377736018,-0.3534355705845903,-0.3316075326467348,0.02909413764514569,0.5773502691896258,-1.2567574357593625
GS,-0.6205746136950419,0.17929309704091778,-0.7376635901013856,-1.2339665420892683,-1.5182864618906535,-1.4883480014092578,2.1594232173589556,-0.28595157674655786,-0.17323773142541818,0.5276792684775258,-1.266625661990427,1.709844109555281,-0.16304751101199985,-0.9791060440369751,-0.864707719978488,0.8110085984396156,-0.26709905675916096,-1.2104235386548554,-1.2104235386548554,-0.9262089054803866,-0.22429073138057348,1.3238605043852203,-0.1854586327421798,0.1830104449656007,-0.20013821466838239,-0.7488166920688379,-1.1990563180767086,-0.5773502691896258,-1.2567574357593625
HE,0.17118254575361122,0.42932758003424476,-0.5095455843927137,-0.7702630398427792,-0.876287505360551,-0.8757474340977803,0.28510838263048355,-0.2784530644714111,0.14327889610795438,-0.3677764598479725,-0.28601224625590294,-0.43584261616115005,-0.16304751101199985,-0.318655495502702,-0.5744291120036134,0.5472659648007162,-0.10816408083635437,-0.7809184120353906,-0.7809184120353906,-0.4819725130849053,-0.4555403637347684,-1.63173504028876,0.06181954424739327,-0.4444539377736018,-0.49395814684111417,-0.07243214573300408,0.6003424825919775,-0.5773502691896258,0.29002094671369905
