cluster,population_2011,population_density_per_sq_km,area_sq_km,udise_city_schools,students_total,teachers_total,teacher_student_ratio,classrooms_repair_pct,girls_share_pct,healthcare_facilities,hospitals,dispensaries,uphcs,complaints_received_2024,unresolved_complaints_2024,closure_pct_2024,avg_resolution_days_2024,green_space_count,green_space_share_pct,green_spaces_per_km2,bus_stop_count,railway_station_count,metro_station_count,monorail_station_count,total_public_transport_nodes,public_toilet_count,facilities_per_10000_population,fire_station_count,police_station_count
Cluster_1,477407.9167,25609.6558,23.2217,71.5833,39899.25,1650.0833,0.0423,1.1723,48.1803,15.5,1.25,5.5,7.6667,4285.75,682.75,83.75,32.25,48.8333,4.9627,2.5568,225.4167,1.5833,5.5833,0.5,228.0,285.75,61.7124,1.5833,3.9167
Cluster_2,337416.1667,56159.6933,6.6121,36.8333,16482.3333,642.1667,0.0399,1.258,46.3789,17.6667,1.1667,9.5,6.1667,3842.1667,947.5,75.0,53.0,10.6667,1.084,1.6699,151.6667,3.3333,2.8333,0.6667,155.5,106.0,28.4242,1.3333,3.0
Cluster_3,831989.4,33168.18,28.6434,117.4,64518.4,2502.2,0.0387,1.06,47.5572,28.8,1.4,10.6,14.6,7337.0,2534.8,64.2,52.2,63.2,6.4228,2.5995,326.0,2.2,10.4,0.0,329.6,826.8,77.1505,1.2,5.8
Cluster_4,529034.0,41158.27,12.8536,83.0,52637.0,2023.0,0.0384,0.0,48.6863,17.0,2.0,7.0,7.0,4229.0,536.0,87.0,43.0,18.0,1.8293,1.4004,310.0,3.0,2.0,7.0,315.0,199.0,49.184,3.0,8.0
