pseudocode,lgd_ward_name,bmc_ward_code,pincode
7953950,N - Ward No. 130,N,400086
4927720,R/South - Ward No. 25,RS,400101
6716575,E - Ward No. 210,E,400010
1373838,S - Ward No. 111,S,400042
7714325,F/South - Ward No. 203,FS,400012
8297147,F/South - Ward No. 204,FS,400014
9518808,T - Ward No. 105,T,400081
5888475,R/North - Ward No. 7,RN,400068
2139723,N - Ward No. 131,N,400075
8631886,M/East - Ward No. 144,ME,400088
2273207,L - Ward No. 161,L,400072
9101519,A - Ward No. 226,A,400001
4022443,H/West - Ward No. 98,HW,400052
7340199,E - Ward No. 211,E,400008
7948589,H/West - Ward No. 97,HW,400054
2295570,G/North - Ward No. 185,GN,400004
9425048,M/East - Ward No. 135,ME,400043
9708576,R/Central - Ward No. 9,RC,400091
1658696,R/North - Ward No. 8,RN,400103
1591297,D - Ward No. 217,D,0
8365071,P/North - Ward No. 42,PN,400104
5426269,K/East - Ward No. 80,KE,400069
4300307,R/South - Ward No. 25,RS,400101
5604468,L - Ward No. 158,L,400072
7038866,K/West - Ward No. 66,KW,400058
2393261,P/South - Ward No. 57,PS,400102
9279776,K/West - Ward No. 61,KW,400102
6106815,M/East - Ward No. 138,ME,400043
9055235,H/West - Ward No. 98,HW,400052
8102521,F/North - Ward No. 177,FN,400031
8553452,A - Ward No. 225,A,400032
3532771,P/North - Ward No. 35,PN,400064
4663401,F/South - Ward No. 205,FS,400033
6735048,K/East - Ward No. 72,KE,400060
4624319,R/North - Ward No. 4,RN,400068
9904283,L - Ward No. 158,L,400072
1389361,K/East - Ward No. 77,KE,400060
5972989,P/North - Ward No. 33,PN,400095
7105562,S - Ward No. 116,S,400078
8660554,R/North - Ward No. 3,RN,400068
9347695,K/East - Ward No. 82,KE,400059
6514387,G/South - Ward No. 194,GS,400025
3925373,S - Ward No. 115,S,400078
3648173,L - Ward No. 162,L,400072
2022094,K/West - Ward No. 66,KW,400058
1948516,F/South - Ward No. 204,FS,400012
5903304,P/South - Ward No. 57,PS,400102
4971573,L - Ward No. 165,L,400070
1204292,F/North - Ward No. 172,FN,400022
1634868,H/West - Ward No. 97,HW,400049
6377378,H/East - Ward No. 87,HE,400055
9095965,N - Ward No. 130,N,400086
6841595,E - Ward No. 209,E,400010
5553781,G/North - Ward No. 190,GN,400016
2340409,G/North - Ward No. 183,GN,400017
9995317,R/South - Ward No. 25,RS,400101
3924898,T - Ward No. 105,T,400081
8074894,T - Ward No. 107,T,400080
2987917,M/West - Ward No. 155,MW,400080
8272848,L - Ward No. 164,L,400070
3635596,M/East - Ward No. 135,ME,400043
3318006,E - Ward No. 211,E,400008
4370363,K/East - Ward No. 81,KE,400093
2430407,K/West - Ward No. 62,KW,400102
