pseudocode,lgd_ward_name,bmc_ward_code,pincode
7660355,S - Ward No. 118,S,400083
1794124,S - Ward No. 112,S,400078
9731459,M/West - Ward No. 153,MW,400071
9383616,M/West - Ward No. 154,MW,400074
1966843,P/South - Ward No. 57,PS,400102
3479996,L - Ward No. 167,L,400070
8461470,S - Ward No. 117,S,400042
8669951,P/North - Ward No. 33,PN,400095
5687057,K/West - Ward No. 66,KW,400058
9089462,R/South - Ward No. 22,RS,400067
3520805,H/West - Ward No. 102,HW,400080
2796955,R/Central - Ward No. 15,RC,400092
1939272,R/Central - Ward No. 9,RC,400091
5731643,P/North - Ward No. 39,PN,400101
5686099,L - Ward No. 164,L,400072
4246460,M/East - Ward No. 143,ME,400088
4786228,K/East - Ward No. 79,KE,400093
3237479,F/South - Ward No. 204,FS,400012
1091073,M/East - Ward No. 139,ME,400043
2915764,N - Ward No. 131,N,400075
5621963,N - Ward No. 131,N,400075
5684299,H/East - Ward No. 88,HE,400055
9651724,F/South - Ward No. 205,FS,400033
1849644,L - Ward No. 163,L,400072
5803126,K/West - Ward No. 59,KW,400061
1833519,M/East - Ward No. 138,ME,400043
2535066,F/North - Ward No. 172,FN,400022
9047213,M/West - Ward No. 154,MW,400074
9720454,M/East - Ward No. 137,ME,400043
1222548,P/North - Ward No. 34,PN,400095
8731655,K/East - Ward No. 75,KE,400059
6931904,K/West - Ward No. 61,KW,400102
7844507,P/North - Ward No. 48,PN,400095
7850622,G/South - Ward No. 194,GS,400028
7307264,G/North - Ward No. 185,GN,400028
4255286,T - Ward No. 107,T,400080
7700333,R/Central - Ward No. 17,RC,400092
5040174,P/North - Ward No. 34,PN,400095
9612061,H/East - Ward No. 96,HE,400051
6307481,H/East - Ward No. 88,HE,400055
2465247,M/West - Ward No. 152,MW,400071
1042996,K/East - Ward No. 85,KE,400057
6461195,F/North - Ward No. 176,FN,400037
9669367,R/South - Ward No. 26,RS,400101
8289668,A - Ward No. 225,A,0
2591682,M/West - Ward No. 153,MW,400071
5669893,L - Ward No. 169,L,400024
6774837,S - Ward No. 119,S,400083
3363836,F/South - Ward No. 205,FS,400033
7012340,N - Ward No. 123,N,400079
2157656,T - Ward No. 107,T,400080
6201621,R/Central - Ward No. 15,RC,400067
5720327,K/East - Ward No. 80,KE,400069
1936579,K/West - Ward No. 70,KW,400056
3083389,F/North - Ward No. 176,FN,400037
7662504,R/North - Ward No. 4,RN,400068
4367751,S - Ward No. 119,S,400083
3024598,D - Ward No. 217,D,400007
3614356,S - Ward No. 111,S,400078
2330037,L - Ward No. 158,L,400072
6404036,T - Ward No. 104,T,400080
3986936,L - Ward No. 160,L,400084
3559091,B - Ward No. 224,B,400009
8298036,P/North - Ward No. 34,PN,400095
6269214,B - Ward No. 224,B,400003
5789678,F/North - Ward No. 172,FN,400022
6337114,N - Ward No. 132,N,400077
8041953,R/Central - Ward No. 9,RC,400092
7143909,P/North - Ward No. 37,PN,400097
6147892,R/North - Ward No. 8,RN,400092
3078795,E - Ward No. 213,E,400008
4996702,M/East - Ward No. 142,ME,400043
4821603,R/South - Ward No. 22,RS,400067
7176235,C - Ward No. 221,C,400010
9387485,R/South - Ward No. 19,RS,400067
9305324,P/South - Ward No. 53,PS,400065
4733878,K/East - Ward No. 81,KE,400069
5021124,H/West - Ward No. 101,HW,400050
4558851,K/West - Ward No. 67,KW,400058
7769298,K/West - Ward No. 66,KW,400058
9524060,G/North - Ward No. 184,GN,400017
2403186,R/North MCGM - Ward No.1,RN,400103
6241997,R/Central - Ward No. 11,RC,400066
6137264,D - Ward No. 217,D,400007
3647575,H/West - Ward No. 97,HW,400054
3625086,P/North - Ward No. 35,PN,400064
6562787,M/East - Ward No. 139,ME,400089
7466476,S - Ward No. 119,S,400083
2082418,S - Ward No. 118,S,400083
3711382,H/West - Ward No. 100,HW,400081
7446034,K/East - Ward No. 80,KE,400069
3167775,R/North - Ward No. 6,RN,400068
6738109,K/East - Ward No. 74,KE,400093
7598579,N - Ward No. 132,N,400077
5633129,M/West - Ward No. 151,MW,400071
3385358,R/North - Ward No. 4,RN,400068
6109586,S - Ward No. 122,S,400076
2941449,T - Ward No. 108,T,400082
5203622,M/East - Ward No. 146,ME,400088
8214300,H/East - Ward No. 88,HE,400005
3394202,R/Central - Ward No. 9,RC,400091
8002572,G/South - Ward No. 199,GS,400011
4172987,K/West - Ward No. 61,KW,400102
6660514,E - Ward No. 211,E,400008
2591292,P/South - Ward No. 51,PS,400063
5553459,D - Ward No. 215,D,400007
7890917,N - Ward No. 131,N,400075
5772419,F/South - Ward No. 202,FS,400014
2655944,G/North - Ward No. 182,GN,400016
3086032,K/East - Ward No. 72,KE,400060
1412813,G/North - Ward No. 192,GN,400028
9860387,K/East - Ward No. 86,KE,400101
4831364,C - Ward No. 222,C,400002
3566061,R/Central - Ward No. 11,RC,400066
1377330,P/South - Ward No. 56,PS,400102
7495939,S - Ward No. 111,S,400042
4308548,P/North - Ward No. 34,PN,400095
1884260,K/West - Ward No. 61,KW,400058
2086369,M/West - Ward No. 155,MW,400074
1625206,B - Ward No. 223,B,400009
4116504,F/North - Ward No. 173,FN,400022
1890127,R/South - Ward No. 25,RS,400101
5639687,P/North - Ward No. 36,PN,400097
7105549,B - Ward No. 224,B,400009
4242148,M/West - Ward No. 154,MW,400074
2485822,K/East - Ward No. 76,KE,400059
5349038,M/West - Ward No. 153,MW,400088
1131142,P/North - Ward No. 47,PN,400095
1966598,N - Ward No. 131,N,400075
8052967,M/East - Ward No. 138,ME,400043
9193730,P/North - Ward No. 40,PN,400097
8051880,N - Ward No. 123,N,400079
5214413,K/West - Ward No. 70,KW,400058
7617680,K/West - Ward No. 61,KW,400102
7733383,M/West - Ward No. 149,MW,400089
4097501,N - Ward No. 132,N,400077
3236112,M/East - Ward No. 139,ME,400088
8602037,F/North - Ward No. 180,FN,400019
9377890,P/South - Ward No. 50,PS,400064
7213395,P/North - Ward No. 48,PN,400095
2723027,B - Ward No. 224,B,400009
9083962,M/West - Ward No. 154,MW,400074
5036843,D - Ward No. 214,D,0
3433730,R/South - Ward No. 20,RS,400067
7205814,G/North - Ward No. 183,GN,400017
9243602,C - Ward No. 222,C,400002
8523323,G/North - Ward No. 192,GN,400028
1366705,H/West - Ward No. 102,HW,400050
9624387,N - Ward No. 131,N,400075
8536984,R/South - Ward No. 23,RS,400101
2810805,H/West - Ward No. 101,HW,400050
5746617,K/West - Ward No. 62,KW,400102
5161044,K/West - Ward No. 71,KW,400049
8145014,M/East - Ward No. 136,ME,400043
1029555,P/North - Ward No. 43,PN,400097
2046533,A - Ward No. 227,A,400005
3636206,E - Ward No. 211,E,400008
3964221,R/Central - Ward No. 11,RC,400066
3314257,P/North - Ward No. 32,PN,400095
3376416,F/North - Ward No. 177,FN,400019
5296801,L - Ward No. 169,L,400024
1535579,K/East - Ward No. 81,KE,400059
4607181,L - Ward No. 157,L,400072
5457613,E - Ward No. 210,E,400027
5120534,S - Ward No. 110,S,400078
3210867,R/Central - Ward No. 15,RC,400092
6832494,P/North - Ward No. 45,PN,400097
1778140,G/North - Ward No. 185,GN,400004
4154329,R/Central - Ward No. 9,RC,400091
4181556,R/North MCGM - Ward No.2,RN,400068
3250249,R/South - Ward No. 25,RS,400101
9279104,P/North - Ward No. 42,PN,400095
6502984,M/West - Ward No. 149,MW,400089
6051500,L - Ward No. 159,L,400072
2807902,M/East - Ward No. 140,ME,400043
4734105,K/East - Ward No. 84,KE,400058
6090817,K/East - Ward No. 82,KE,400093
7133447,K/West - Ward No. 67,KW,400058
7936763,L - Ward No. 162,L,400072
9549533,N - Ward No. 123,N,400079
9213791,B - Ward No. 224,B,400009
8241574,L - Ward No. 165,L,400070
7374175,F/North - Ward No. 180,FN,400031
7631166,A - Ward No. 227,A,400005
1201384,G/North - Ward No. 191,GN,400028
2020795,H/West - Ward No. 101,HW,400050
8560709,P/North - Ward No. 36,PN,400097
4622935,H/West - Ward No. 97,HW,400054
6651655,B - Ward No. 224,B,400003
3543806,L - Ward No. 158,L,400072
6497975,N - Ward No. 127,N,400086
6059353,R/Central - Ward No. 11,RC,400066
2168999,K/West - Ward No. 70,KW,400056
6738487,K/West - Ward No. 70,KW,400049
8810251,F/North - Ward No. 177,FN,400019
5325581,A - Ward No. 225,A,400020
5937679,S - Ward No. 118,S,400083
7828496,D - Ward No. 214,D,400006
2114341,R/Central - Ward No. 15,RC,400092
6417217,L - Ward No. 160,L,400072
4807308,F/North - Ward No. 172,FN,400022
7296720,N - Ward No. 132,N,400077
1362105,M/East - Ward No. 146,ME,400094
3899124,E - Ward No. 211,E,400008
7743101,A - Ward No. 225,A,400001
5451065,H/West - Ward No. 101,HW,400050
5808655,L - Ward No. 161,L,400072
3067600,N - Ward No. 124,N,400079
1665919,N - Ward No. 124,N,400079
8784566,H/East - Ward No. 90,HE,400029
5221668,A - Ward No. 225,A,400001
9844940,F/South - Ward No. 205,FS,400033
2295507,P/North - Ward No. 38,PN,400097
5214113,E - Ward No. 211,E,400008
8999463,B - Ward No. 224,B,400009
6507378,F/South - Ward No. 204,FS,400012
7453562,R/North - Ward No. 8,RN,400103
9215904,H/East - Ward No. 92,HE,400051
3169269,P/South - Ward No. 52,PS,400063
3655689,H/East - Ward No. 91,HE,400098
7081844,N - Ward No. 132,N,400077
3535795,K/West - Ward No. 70,KW,400056
3549475,K/East - Ward No. 85,KE,400057
9460794,N - Ward No. 125,N,400075
3049385,K/West - Ward No. 67,KW,400058
7316921,D - Ward No. 214,D,400026
1400764,N - Ward No. 124,N,400079
6880174,G/South - Ward No. 195,GS,400018
5318715,L - Ward No. 165,L,400070
8489912,F/North - Ward No. 180,FN,400014
3200938,M/East - Ward No. 142,ME,400043
8188760,P/North - Ward No. 43,PN,400097
5480049,S - Ward No. 122,S,400076
7293104,F/South - Ward No. 203,FS,400012
3709669,R/North - Ward No. 3,RN,400068
4150945,R/Central - Ward No. 18,RC,400067
9475435,H/West - Ward No. 97,HW,400054
3069578,R/North - Ward No. 7,RN,400068
2401620,N - Ward No. 128,N,400084
9372099,M/East - Ward No. 145,ME,400088
6319273,M/West - Ward No. 154,MW,400074
6344352,P/North - Ward No. 32,PN,400097
3942420,R/North - Ward No. 6,RN,400068
3345959,M/East - Ward No. 140,ME,400043
7380432,N - Ward No. 131,N,400075
8712603,P/South - Ward No. 50,PS,400064
3407357,K/West - Ward No. 63,KW,400058
3224626,P/North - Ward No. 47,PN,400064
3464986,F/North - Ward No. 180,FN,400014
4056858,R/South - Ward No. 22,RS,400067
9541878,H/East - Ward No. 94,HE,400055
5393713,M/West - Ward No. 149,MW,400089
9646967,N - Ward No. 123,N,400079
8454927,T - Ward No. 104,T,400080
8282313,D - Ward No. 215,D,400034
9493101,A - Ward No. 225,A,400020
4275134,G/North - Ward No. 182,GN,400016
1691502,P/South - Ward No. 54,PS,400102
4988515,S - Ward No. 112,S,400078
6650414,H/West - Ward No. 102,HW,400050
1600411,R/South - Ward No. 22,RS,400067
5565892,R/North MCGM - Ward No.2,RN,400068
7168525,R/South - Ward No. 24,RS,400101
2104076,L - Ward No. 164,L,400070
6258826,R/Central - Ward No. 10,RC,400092
3172881,S - Ward No. 115,S,400078
5214670,H/West - Ward No. 99,HW,400050
7381809,E - Ward No. 211,E,400008
7242394,K/West - Ward No. 65,KW,400058
6609383,R/North - Ward No. 8,RN,400103
7832468,R/South - Ward No. 20,RS,400067
8480610,K/West - Ward No. 66,KW,400058
2382797,H/West - Ward No. 100,HW,400050
4131283,P/North - Ward No. 35,PN,400064
4984043,K/West - Ward No. 59,KW,400061
5558815,R/South - Ward No. 22,RS,400067
8742396,H/West - Ward No. 98,HW,400052
4573107,P/South - Ward No. 56,PS,400102
6116631,S - Ward No. 116,S,400078
2091245,R/Central - Ward No. 18,RC,400067
6041348,R/North - Ward No. 3,RN,400068
4399236,M/East - Ward No. 139,ME,400043
8849781,P/South - Ward No. 52,PS,400063
2331923,R/South - Ward No. 23,RS,400101
8558553,P/North - Ward No. 33,PN,400095
8585723,R/North - Ward No. 5,RN,400068
3225182,K/West - Ward No. 61,KW,400102
4354543,G/North - Ward No. 186,GN,400017
7773919,H/West - Ward No. 98,HW,400054
8206663,T - Ward No. 106,T,400081
3630880,M/East - Ward No. 138,ME,400043
6777886,M/East - Ward No. 144,ME,400071
7029578,G/South - Ward No. 195,GS,400018
3223989,L - Ward No. 166,L,400070
2395482,H/East - Ward No. 88,HE,400055
3581350,G/North - Ward No. 183,GN,400017
9273129,H/West - Ward No. 97,HW,400054
9648316,G/South - Ward No. 193,GS,400030
1538875,G/North - Ward No. 186,GN,400017
2730580,P/South - Ward No. 54,PS,400102
5076751,P/South - Ward No. 55,PS,400102
5191026,K/West - Ward No. 70,KW,400056
2451206,F/North - Ward No. 172,FN,400022
3242046,D - Ward No. 216,D,400008
7912335,F/North - Ward No. 172,FN,400004
1412971,G/North - Ward No. 186,GN,400017
1433553,P/North - Ward No. 42,PN,400097
6874905,K/West - Ward No. 70,KW,400102
8396240,S - Ward No. 122,S,400076
5712954,G/North - Ward No. 192,GN,400028
9376458,F/South - Ward No. 204,FS,400012
1005046,S - Ward No. 122,S,400076
3083055,F/North - Ward No. 177,FN,400019
7402040,R/Central - Ward No. 15,RC,400092
9469835,R/Central - Ward No. 12,RC,400066
2801041,P/North - Ward No. 33,PN,400095
6667789,R/North - Ward No. 8,RN,0
3708410,M/East - Ward No. 135,ME,400080
5841517,L - Ward No. 158,L,400072
5795561,R/North - Ward No. 4,RN,400068
4273766,M/West - Ward No. 154,MW,400074
6796967,K/West - Ward No. 71,KW,400056
8051294,R/Central - Ward No. 12,RC,400068
6064085,M/East - Ward No. 138,ME,400043
9133983,P/North - Ward No. 41,PN,400065
4125304,F/North - Ward No. 175,FN,400037
3209203,M/West - Ward No. 150,MW,400089
1856162,D - Ward No. 215,D,400034
6709964,B - Ward No. 224,B,400003
6264889,N - Ward No. 132,N,400077
9588511,A - Ward No. 227,A,400005
8973720,L - Ward No. 163,L,400104
5297163,R/North - Ward No. 8,RN,400103
6228553,T - Ward No. 108,T,400082
4155958,S - Ward No. 109,S,400078
5144803,R/South - Ward No. 25,RS,400101
2207673,E - Ward No. 213,E,400008
4050913,L - Ward No. 158,L,400072
1142713,B - Ward No. 224,B,400009
7823329,C - Ward No. 222,C,400002
8854053,P/North - Ward No. 35,PN,400064
9601349,G/North - Ward No. 192,GN,400028
3206542,M/East - Ward No. 144,ME,400088
6787215,N - Ward No. 129,N,400086
4789615,H/East - Ward No. 90,HE,400098
2248119,S - Ward No. 122,S,400076
8281293,K/West - Ward No. 64,KW,400102
5559888,N - Ward No. 124,N,400077
8209970,A - Ward No. 226,A,400001
9932468,G/South - Ward No. 195,GS,400018
9269755,F/South - Ward No. 202,FS,400014
3476742,R/South - Ward No. 25,RS,400101
9214933,D - Ward No. 217,D,400007
8696544,D - Ward No. 214,D,400026
3036387,F/South - Ward No. 204,FS,400033
6227372,K/East - Ward No. 84,KE,400057
5884748,L - Ward No. 166,L,400070
6568642,M/West - Ward No. 150,MW,400043
5460334,S - Ward No. 112,S,400078
3539111,A - Ward No. 227,A,400005
6498393,G/South - Ward No. 193,GS,400030
6682506,T - Ward No. 103,T,400080
7293825,M/East - Ward No. 144,ME,400088
1672083,C - Ward No. 222,C,400001
3104347,P/North - Ward No. 48,PN,400095
9728039,F/North - Ward No. 177,FN,400014
2679548,H/East - Ward No. 88,HE,400055
8655378,M/East - Ward No. 136,ME,400043
8503855,M/East - Ward No. 146,ME,400074
8016620,M/East - Ward No. 136,ME,400043
9228691,F/South - Ward No. 204,FS,400012
7108082,T - Ward No. 107,T,400080
8468894,L - Ward No. 168,L,400070
9500217,F/North - Ward No. 172,FN,400022
9190204,P/South - Ward No. 55,PS,400102
6052520,K/West - Ward No. 66,KW,400058
3647567,K/East - Ward No. 79,KE,400093
9790831,R/Central - Ward No. 16,RC,400091
2949018,R/North - Ward No. 7,RN,400068
1162418,P/South - Ward No. 55,PS,400102
5485445,F/South - Ward No. 205,FS,400012
8717097,S - Ward No. 118,S,400083
7051913,C - Ward No. 222,C,400002
5336684,K/East - Ward No. 75,KE,400059
8726351,T - Ward No. 103,T,400078
8865147,R/North - Ward No. 3,RN,400068
2812864,R/Central - Ward No. 11,RC,400092
6590874,M/East - Ward No. 143,ME,400088
7388042,N - Ward No. 131,N,400077
2275379,G/South - Ward No. 199,GS,400011
4009258,R/South - Ward No. 19,RS,400067
7050368,M/East - Ward No. 138,ME,400043
4121668,B - Ward No. 224,B,400009
9919307,F/North - Ward No. 172,FN,400004
2247606,F/North - Ward No. 172,FN,400022
8911852,K/West - Ward No. 67,KW,400058
9239159,T - Ward No. 106,T,400081
4569810,G/South - Ward No. 197,GS,400018
8002655,N - Ward No. 130,N,400086
4428850,F/South - Ward No. 204,FS,400014
2241786,M/West - Ward No. 154,MW,400072
4372918,E - Ward No. 211,E,400008
5201331,N - Ward No. 128,N,400084
2970073,D - Ward No. 218,D,400004
6127664,P/South - Ward No. 53,PS,400063
7027847,D - Ward No. 217,D,400004
9921202,F/North - Ward No. 177,FN,400019
9003148,R/Central - Ward No. 16,RC,400091
6065102,H/West - Ward No. 99,HW,400052
6252075,L - Ward No. 167,L,400070
6577771,F/South - Ward No. 203,FS,400012
8476073,R/North MCGM - Ward No.1,RN,400103
7905398,D - Ward No. 219,D,400007
1725651,L - Ward No. 159,L,400072
4761012,R/South - Ward No. 29,RS,400068
9690768,K/West - Ward No. 70,KW,400056
3579826,K/West - Ward No. 68,KW,400053
8881626,A - Ward No. 225,A,400001
6126179,N - Ward No. 129,N,400086
6019570,M/East - Ward No. 139,ME,400043
1371790,R/Central - Ward No. 12,RC,400066
2051805,D - Ward No. 218,D,400004
7574910,M/East - Ward No. 136,ME,400043
3819231,P/North - Ward No. 33,PN,400095
5214652,G/South - Ward No. 194,GS,400028
8868477,A - Ward No. 225,A,400001
3615072,N - Ward No. 129,N,400084
3003994,N - Ward No. 125,N,400075
9484403,G/North - Ward No. 184,GN,400017
7647988,H/East - Ward No. 93,HE,400051
7008206,F/North - Ward No. 177,FN,400019
2916018,K/West - Ward No. 62,KW,400061
6299379,P/South - Ward No. 58,PS,400104
4398220,N - Ward No. 132,N,400077
6385248,D - Ward No. 217,D,400007
1385891,F/North - Ward No. 177,FN,400019
9325226,K/West - Ward No. 67,KW,400061
5432843,F/North - Ward No. 177,FN,400014
1719079,F/North - Ward No. 174,FN,400037
4071864,P/South - Ward No. 52,PS,400063
5956506,P/North - Ward No. 49,PN,400095
5761087,L - Ward No. 163,L,400072
7599538,P/North - Ward No. 37,PN,400095
1358245,H/East - Ward No. 90,HE,400029
6853066,R/Central - Ward No. 18,RC,400067
2776028,M/East - Ward No. 135,ME,400043
5515229,P/North - Ward No. 33,PN,400095
1344278,P/North - Ward No. 35,PN,400064
4667751,K/East - Ward No. 80,KE,400069
7044773,H/West - Ward No. 97,HW,400054
3266177,F/North - Ward No. 176,FN,400037
7602497,F/North - Ward No. 177,FN,400031
6068906,M/East - Ward No. 138,ME,400043
9549625,R/Central - Ward No. 11,RC,400066
6439697,R/South - Ward No. 29,RS,400101
3316691,S - Ward No. 119,S,400083
3583144,R/Central - Ward No. 11,RC,400066
8117082,M/West - Ward No. 152,MW,400071
2594466,T - Ward No. 105,T,400081
1321284,K/West - Ward No. 60,KW,400058
8367436,F/North - Ward No. 172,FN,400022
9280226,K/West - Ward No. 59,KW,400061
1617490,S - Ward No. 120,S,400083
3686348,K/West - Ward No. 66,KW,400058
5998773,R/North - Ward No. 3,RN,400068
9666187,E - Ward No. 211,E,400011
1272899,K/West - Ward No. 64,KW,400102
7990222,N - Ward No. 125,N,400075
6254426,H/East - Ward No. 93,HE,400051
4564187,K/East - Ward No. 78,KE,400060
2943363,N - Ward No. 132,N,400077
9479548,T - Ward No. 105,T,400078
3115531,F/North - Ward No. 177,FN,400031
9187432,R/South - Ward No. 27,RS,400101
5195723,K/East - Ward No. 84,KE,400057
4487136,F/North - Ward No. 172,FN,400022
8762586,M/East - Ward No. 144,ME,400071
9556927,M/East - Ward No. 143,ME,400088
4975572,P/South - Ward No. 55,PS,400102
2145547,R/North - Ward No. 4,RN,400068
9326075,P/North - Ward No. 38,PN,400097
2616549,T - Ward No. 105,T,400081
4677840,A - Ward No. 225,A,400001
4206853,H/East - Ward No. 88,HE,400055
1625140,P/North - Ward No. 33,PN,400095
9488947,A - Ward No. 225,A,400001
1780207,R/Central - Ward No. 15,RC,400092
6964722,D - Ward No. 218,D,400004
3351928,M/East - Ward No. 144,ME,400088
8238209,G/North - Ward No. 186,GN,400017
7365410,L - Ward No. 156,L,400072
8042939,L - Ward No. 167,L,400070
2095859,E - Ward No. 211,E,400008
4903003,D - Ward No. 214,D,0
3106115,R/South - Ward No. 19,RS,400067
9755207,F/South - Ward No. 204,FS,400012
5316243,F/North - Ward No. 180,FN,400031
7695255,P/South - Ward No. 58,PS,400102
5271061,S - Ward No. 110,S,400078
2590817,M/East - Ward No. 134,ME,400088
7070732,T - Ward No. 107,T,400080
7781776,N - Ward No. 129,N,400086
9569069,M/East - Ward No. 137,ME,400043
6887550,R/Central - Ward No. 15,RC,400092
5216338,R/Central - Ward No. 9,RC,400092
1356854,T - Ward No. 107,T,400080
9960693,K/West - Ward No. 66,KW,400058
4025049,G/North - Ward No. 191,GN,400028
3073338,F/North - Ward No. 177,FN,400014
2130844,R/Central - Ward No. 15,RC,400092
3014040,K/West - Ward No. 67,KW,400053
2714218,R/Central - Ward No. 13,RC,400066
3591493,K/West - Ward No. 67,KW,400058
6996117,S - Ward No. 122,S,400076
6809376,P/South - Ward No. 54,PS,400004
1886861,F/North - Ward No. 177,FN,400031
3872597,A - Ward No. 225,A,400002
3108683,S - Ward No. 112,S,400080
8295182,F/North - Ward No. 172,FN,400022
8908319,P/North - Ward No. 45,PN,400097
1063480,K/West - Ward No. 64,KW,400102
1176426,D - Ward No. 217,D,0
4982259,G/North - Ward No. 183,GN,400017
8591293,N - Ward No. 123,N,400079
7050585,R/Central - Ward No. 10,RC,400092
3063764,K/East - Ward No. 84,KE,400057
6450574,S - Ward No. 112,S,400078
6951673,H/East - Ward No. 96,HE,400051
8791011,M/West - Ward No. 152,MW,400071
3201303,K/East - Ward No. 78,KE,400060
8243790,G/South - Ward No. 194,GS,400028
6534224,P/North - Ward No. 49,PN,400058
5780297,M/East - Ward No. 144,ME,400088
6254621,F/South - Ward No. 204,FS,400012
4528276,G/North - Ward No. 192,GN,400028
4383701,G/South - Ward No. 196,GS,400018
1756195,D - Ward No. 215,D,400034
7687395,R/South - Ward No. 27,RS,400101
2217558,H/West - Ward No. 101,HW,400050
1041282,A - Ward No. 225,A,400020
7323977,G/North - Ward No. 186,GN,400017
8289719,N - Ward No. 132,N,400077
9539310,K/East - Ward No. 76,KE,400093
8047115,G/North - Ward No. 190,GN,400016
8181729,S - Ward No. 119,S,400083
2526617,F/North - Ward No. 172,FN,400022
1819800,L - Ward No. 157,L,400078
8996038,R/North MCGM - Ward No.2,RN,400068
8221599,P/South - Ward No. 50,PS,400064
1805516,K/East - Ward No. 84,KE,400069
3755665,M/West - Ward No. 154,MW,400074
8498201,R/South - Ward No. 22,RS,400067
2537277,S - Ward No. 111,S,400042
9114561,K/West - Ward No. 64,KW,400102
1063899,G/North - Ward No. 182,GN,400016
9266066,F/North - Ward No. 172,FN,400022
6098581,R/South - Ward No. 22,RS,400067
8285583,K/East - Ward No. 84,KE,400057
4755429,F/South - Ward No. 204,FS,400012
3351589,P/North - Ward No. 35,PN,400064
5432094,H/West - Ward No. 97,HW,400054
4040243,L - Ward No. 159,L,400072
5813599,H/East - Ward No. 88,HE,400055
6787505,G/North - Ward No. 190,GN,400016
4458923,P/North - Ward No. 35,PN,400064
6484058,R/North - Ward No. 8,RN,400103
9247547,N - Ward No. 133,N,400077
6485342,P/North - Ward No. 32,PN,400095
7211109,P/North - Ward No. 43,PN,400097
6117239,P/North - Ward No. 37,PN,400091
1677116,L - Ward No. 171,L,400022
7484403,K/East - Ward No. 81,KE,400069
5605009,P/South - Ward No. 57,PS,400102
5047220,K/East - Ward No. 73,KE,400060
9097237,A - Ward No. 225,A,400005
9858757,E - Ward No. 211,E,400008
7346596,K/West - Ward No. 70,KW,400056
1149949,R/South - Ward No. 20,RS,400067
9235683,T - Ward No. 108,T,400080
7947893,F/North - Ward No. 177,FN,400019
3365949,A - Ward No. 225,A,400001
5859926,F/North - Ward No. 176,FN,400037
8375713,T - Ward No. 104,T,400080
4313568,M/East - Ward No. 146,ME,400088
8453454,H/West - Ward No. 99,HW,400052
2393991,G/North - Ward No. 186,GN,400017
1826186,N - Ward No. 131,N,400075
3216386,A - Ward No. 225,A,400020
7869270,M/West - Ward No. 153,MW,400088
4069670,K/West - Ward No. 60,KW,400058
2943390,R/South - Ward No. 19,RS,400067
5628847,R/Central - Ward No. 15,RC,400091
3030048,M/West - Ward No. 152,MW,400071
3356003,K/East - Ward No. 85,KE,400057
5008125,D - Ward No. 216,D,400004
9461713,G/North - Ward No. 192,GN,400028
5329567,G/South - Ward No. 195,GS,400013
1738272,E - Ward No. 211,E,400008
1742829,E - Ward No. 211,E,400008
9016220,R/Central - Ward No. 12,RC,400066
4857915,G/North - Ward No. 189,GN,400019
2811298,S - Ward No. 119,S,400083
4876621,G/North - Ward No. 192,GN,400028
8314918,H/East - Ward No. 87,HE,400055
8225644,K/West - Ward No. 62,KW,400102
2052770,P/North - Ward No. 39,PN,400104
3618293,R/South - Ward No. 28,RS,400101
2747430,N - Ward No. 123,N,400079
5742752,H/West - Ward No. 97,HW,400052
9756694,S - Ward No. 117,S,400042
8806027,K/West - Ward No. 63,KW,400053
1764494,F/North - Ward No. 177,FN,400014
9165340,R/North - Ward No. 6,RN,400068
4586857,P/North - Ward No. 33,PN,400095
2911938,L - Ward No. 171,L,400022
7483425,N - Ward No. 128,N,400086
8867821,G/North - Ward No. 186,GN,400019
2919852,F/South - Ward No. 202,FS,400014
6107887,K/West - Ward No. 63,KW,400058
6851636,P/North - Ward No. 38,PN,400097
4383492,F/South - Ward No. 201,FS,400013
2418886,G/South - Ward No. 195,GS,400013
3047887,F/North - Ward No. 180,FN,400014
2497115,A - Ward No. 225,A,400001
4495333,R/South - Ward No. 26,RS,400101
9394203,F/South - Ward No. 204,FS,400012
4523054,H/West - Ward No. 101,HW,400064
9859896,P/South - Ward No. 55,PS,400102
8524026,P/North - Ward No. 35,PN,400064
3179082,M/East - Ward No. 138,ME,400043
1800674,K/East - Ward No. 85,KE,400057
9585040,B - Ward No. 224,B,400009
1847084,L - Ward No. 158,L,400072
6809792,P/North - Ward No. 34,PN,400095
1170949,T - Ward No. 103,T,400080
5425491,R/South - Ward No. 20,RS,400067
8678137,H/West - Ward No. 100,HW,400050
9351213,R/South - Ward No. 22,RS,400067
8082017,N - Ward No. 130,N,400086
7929977,S - Ward No. 113,S,400078
2985256,M/East - Ward No. 144,ME,400088
7231251,L - Ward No. 166,L,400070
8202877,N - Ward No. 129,N,400086
4323929,F/South - Ward No. 202,FS,400014
8386719,P/South - Ward No. 57,PS,400056
2340969,K/East - Ward No. 86,KE,400059
7561858,K/East - Ward No. 73,KE,400060
7095600,E - Ward No. 211,E,400008
3139018,R/North - Ward No. 5,RN,400068
8051654,K/West - Ward No. 61,KW,400102
1681253,P/North - Ward No. 43,PN,400097
2465710,N - Ward No. 129,N,400086
9996501,R/Central - Ward No. 18,RC,400067
8248202,R/South - Ward No. 25,RS,400101
2370201,K/East - Ward No. 80,KE,400069
5524262,G/North - Ward No. 190,GN,400016
5986673,G/South - Ward No. 193,GS,400030
9352514,H/West - Ward No. 102,HW,400050
1812972,P/South - Ward No. 54,PS,400102
5055837,L - Ward No. 159,L,400072
