ward_code,healthcare_facilities,dispensaries,hospitals,maternity_hospitals,uphcs,veterinary_hospitals
A,13,6,4,0,3,0
B,7,5,0,0,2,0
C,9,5,0,1,3,0
D,11,6,0,0,5,0
E,25,13,5,0,7,0
FN,18,7,2,1,8,0
FS,19,9,2,1,7,0
GN,19,9,0,1,9,0
GS,22,13,0,1,8,0
HE,18,7,1,1,9,0
HW,12,5,1,0,6,0
KE,27,11,1,3,12,0
KW,19,7,1,1,10,0
L,35,15,1,2,17,0
ME,28,11,1,1,15,0
MW,16,6,1,1,8,0
N,22,8,2,1,11,0
PN,29,11,2,3,13,0
PS,13,3,1,1,8,0
RC,21,7,1,3,10,0
RN,14,5,1,0,8,0
RS,18,6,1,1,10,0
S,27,8,1,3,15,0
T,13,3,2,1,7,0
