station_id,latitude,longitude,geocode_status,geocode_display_name
MM-185,19.0929825,72.9123967,MATCHED,"Shreyas Cinema, Lal Bahadur Shastri Marg, Damodar Park, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India"
MM-186,19.137156,72.8614676,MATCHED,"Shyam Nagar, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400060, India"
MM-187,19.0578284,72.8920609,MATCHED,"Siddharth Colony, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-188,19.1628583,72.934172,MATCHED,"Sonapur, Nahur, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400082, India"
MM-189,,,NOT_FOUND,
MM-190,,,NOT_FOUND,
MM-191,,,NOT_FOUND,
MM-192,19.0530165,72.8837675,MATCHED,"Suman Nagar, Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-193,19.1190441,72.9234984,MATCHED,"Surya Nagar, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
MM-194,19.142681,72.8262715,MATCHED,"Basera Air India, 1st Cross Road, Lokhandwala Complex, Oshiwara, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400053, India"
MM-195,,,NOT_FOUND,
MM-196,18.9901343,73.0344023,MATCHED,"Targhar, NMIA West Entry Road, Moha Village, Targhar, Navi Mumbai, Panvel Subdistrict, Raigad, Maharashtra, 400706, India"
MM-197,,,NOT_FOUND,
MM-198,,,NOT_FOUND,
MM-199,,,NOT_FOUND,
MM-200,19.0761648,73.0176615,MATCHED,"Turbhe, Turbhe Station Road, Turbhe, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India"
MM-201,,,NOT_FOUND,
MM-202,,,NOT_FOUND,
MM-203,19.0632481,72.9987966,MATCHED,"Vashi, Vashi Station Road, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India"
MM-204,19.1711785,72.9522552,MATCHED,"Vijay Nagar Garden, Mulund West, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400080, India"
MM-205,,,NOT_FOUND,
MM-206,19.1114795,72.928021,MATCHED,"Vikhroli, P. Soman Marg, Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
MM-207,,,NOT_FOUND,
MONO-001,19.054818,72.8979713,MATCHED,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MONO-002,,,NOT_FOUND,
MONO-003,,,NOT_FOUND,
MONO-004,19.0352839,72.8955553,MATCHED,"Bharat Petroleum, Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road), Anik Gaon, Fertilizer Colony, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400074, India"
MONO-005,19.0277168,72.8914397,MATCHED,"Mysore Colony, Mysore Colony Connector, Sri Ganesh Patel Nagar, Mahul, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400074, India"
MONO-006,19.028972,72.8775722,MATCHED,"Bhakti Park, Ajmera l-Land Road, Bhakti Park, Mahul, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400037, India"
MONO-007,19.0388244,72.8740249,MATCHED,"Wadala Depot, Kokri Agar Road, Sardar Vallabhbhai Patel Nagar, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India"
MONO-008,19.0380048,72.8643455,MATCHED,"Guru Tegh Bahadur Nagar, M Ambedkar Marg, Agarwada Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400022, India"
MONO-009,19.0301805,72.8669504,MATCHED,"Antop Hill, M Ambedkar Marg, CGS Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
MONO-010,19.0236472,72.8637994,MATCHED,"Acharya Atre Nagar, Sheikh Misari Road, CGS Colony, Antop Hill, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
MONO-011,19.0174644,72.8593233,MATCHED,"Wadala Bridge, Rafi Ahmed Kidwai Marg, New BPT Colony, Matunga East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400019, India"
MONO-012,19.0162531,72.8522274,MATCHED,"Dadar East, Katrak Road, Dadar Parsi Colony, Matunga East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400031, India"
MONO-013,19.0095393,72.8478709,MATCHED,"Naigaon, G.D. Ambedkar Marg, Naigaon, Parel, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400014, India"
MONO-014,19.0708218,72.8288647,MATCHED,"Ambedkar Nagar, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MONO-015,18.9953457,72.8446326,MATCHED,"Mint Colony, G.D. Ambedkar Marg, Dosti Belleza, Lal Baug, F/S Ward, Mumbai Zone 2, Mumbai, Mumbai City District, Maharashtra, 400033, India"
MONO-016,18.99568,72.8302756,MATCHED,"Lower Parel, Delisle Road ROB, BDD Chawl, Lower Parel, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400013, India"
MONO-017,18.9810531,72.8267863,MATCHED,"Sant Gadge Maharaj Chowk, Byculla West, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India"
