station_id,latitude,longitude,geocode_status,geocode_display_name
MM-035,19.1692623,72.8552548,MATCHED,"Goregaon East, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400063, India"
MM-036,19.1633281,72.8411995,MATCHED,"Goregaon West, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400090, India"
MM-037,18.9633549,72.8158261,MATCHED,"Grant Road, N Bharucha Marg, Gamdevi, D Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400036, India"
MM-038,19.120531,72.855597,MATCHED,"Gundavali, Service Road, Malpa Dongri, Andheri East, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400069, India"
MM-039,18.9327405,72.8316318,MATCHED,"Hutatma Chowk, Fort, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India"
MM-040,18.9699801,72.8212029,MATCHED,"Jagannath Shankar Sheth Metro, Dr Anand Rao Nair Marg, Agripada, Tardeo, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India"
MM-041,19.0925442,72.9019518,MATCHED,"Jagruti Nagar, Sant Narsee Mehta Marg, Azad Nagar, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
MM-042,19.1429467,72.8551559,MATCHED,"Jogeshwari (East), Western Express Highway, Aarey Milk Colony, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400060, India"
MM-043,18.9492575,72.8279382,MATCHED,"Kalbadevi, C Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400002, India"
MM-044,19.2566384,72.8506245,MATCHED,"Rushi Sankul, Link Road, Kandarpada, Dahisar West, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400068, India"
