scenario,ward_code,baseline_pressure,scenario_pressure,pressure_change,healthcare_change,education_change,sanitation_change,safety_change,transport_change,civic_change,green_space_change
healthcare_capacity_plus_20,GS,48.59817115251898,47.40769496204279,-1.1904761904761898,-8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,FN,48.796975970889015,46.416023589936636,-2.3809523809523796,-16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,MW,46.19408369408369,44.4083694083694,-1.7857142857142847,-12.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,HW,40.54598782859652,38.76027354288224,-1.7857142857142847,-12.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,GN,60.6060606060606,57.034632034632025,-3.5714285714285765,-24.999999999999986,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,ME,52.551524562394114,48.38485789572746,-4.166666666666657,-29.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,E,51.18302591128679,49.397311625572506,-1.7857142857142847,-12.499999999999998,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,HE,55.37831733483909,51.21165066817241,-4.1666666666666785,-29.166666666666657,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,RS,52.7969916556873,51.606515465211125,-1.1904761904761756,-8.333333333333314,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,T,41.7090156220591,39.328063241106726,-2.3809523809523725,-16.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,N,64.0159357550662,62.23022146935192,-1.7857142857142776,-12.5,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,PS,54.29881109228936,49.53690633038459,-4.761904761904773,-33.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,PN,59.608507434594394,56.037078863165824,-3.5714285714285694,-25.0,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,B,60.99269088399524,56.826024217328566,-4.166666666666671,-29.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,RC,47.792364640190726,44.816174164000245,-2.9761904761904816,-20.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,KE,42.672062237279626,41.481586046803436,-1.1904761904761898,-8.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,L,52.32919254658385,49.948240165631475,-2.3809523809523725,-16.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,S,46.94185645272602,45.15614216701174,-1.7857142857142847,-12.5,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,RN,37.57058159232072,34.59439111613025,-2.9761904761904745,-20.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,KW,67.0795689817429,66.48433088650481,-0.5952380952380878,-4.166666666666686,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,A,41.01221845787063,40.41698036263254,-0.5952380952380878,-4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,C,56.042960662525886,55.447722567287784,-0.595238095238102,-4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,D,48.178602798168015,47.58336470292993,-0.5952380952380878,-4.166666666666657,0.0,0.0,0.0,0.0,0.0,0.0
healthcare_capacity_plus_20,FS,45.21378380074032,42.832831419787944,-2.3809523809523796,-16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,GS,48.59817115251898,46.81245686680469,-1.7857142857142918,0.0,0.0,-12.5,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,FN,48.796975970889015,47.60649978041282,-1.190476190476197,0.0,0.0,-8.333333333333343,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,MW,46.19408369408369,43.21789321789322,-2.9761904761904674,0.0,0.0,-20.833333333333336,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,HW,40.54598782859652,37.56979735240605,-2.9761904761904745,0.0,0.0,-20.833333333333332,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,GN,60.6060606060606,58.82034632034631,-1.7857142857142918,0.0,0.0,-12.499999999999993,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,ME,52.551524562394114,50.17057218144174,-2.3809523809523725,0.0,0.0,-16.66666666666666,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,E,51.18302591128679,49.992549720810594,-1.190476190476197,0.0,0.0,-8.333333333333343,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,HE,55.37831733483909,54.18784114436289,-1.190476190476197,0.0,0.0,-8.333333333333332,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,RS,52.7969916556873,51.011277369973016,-1.7857142857142847,0.0,0.0,-12.500000000000004,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,T,41.7090156220591,41.11377752682101,-0.5952380952380878,0.0,0.0,-4.166666666666661,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,N,64.0159357550662,62.23022146935192,-1.7857142857142776,0.0,0.0,-12.5,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,PS,54.29881109228936,51.917858711336976,-2.3809523809523867,0.0,0.0,-16.666666666666668,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,PN,59.608507434594394,58.4180312441182,-1.190476190476197,0.0,0.0,-8.333333333333332,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,B,60.99269088399524,58.611738503042865,-2.3809523809523725,0.0,0.0,-16.666666666666657,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,RC,47.792364640190726,45.41141225923834,-2.3809523809523867,0.0,0.0,-16.66666666666667,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,KE,42.672062237279626,42.07682414204153,-0.5952380952380949,0.0,0.0,-4.166666666666668,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,L,52.32919254658385,50.54347826086956,-1.7857142857142847,0.0,0.0,-12.500000000000004,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,S,46.94185645272602,46.34661835748792,-0.595238095238102,0.0,0.0,-4.166666666666666,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,RN,37.57058159232072,36.38010540184454,-1.1904761904761827,0.0,0.0,-8.333333333333332,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,KW,67.0795689817429,65.88909279126672,-1.1904761904761756,0.0,0.0,-8.333333333333314,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,A,41.01221845787063,38.03602798168016,-2.9761904761904745,0.0,0.0,-20.833333333333336,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,C,56.042960662525886,55.447722567287784,-0.595238095238102,0.0,0.0,-4.166666666666686,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,D,48.178602798168015,45.79765041721563,-2.3809523809523867,0.0,0.0,-16.666666666666657,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,FS,45.21378380074032,43.42806951502604,-1.7857142857142847,0.0,0.0,-12.5,0.0,0.0,0.0,0.0
green_space_plus_20,GS,48.59817115251898,48.30055210489992,-0.2976190476190581,0.0,0.0,0.0,0.0,0.0,0.0,-2.083333333333343
green_space_plus_20,FN,48.796975970889015,47.606499780412825,-1.1904761904761898,0.0,0.0,0.0,0.0,0.0,0.0,-8.333333333333343
green_space_plus_20,MW,46.19408369408369,45.59884559884559,-0.5952380952380949,0.0,0.0,0.0,0.0,0.0,0.0,-4.166666666666657
green_space_plus_20,HW,40.54598782859652,40.24836878097748,-0.2976190476190439,0.0,0.0,0.0,0.0,0.0,0.0,-2.0833333333333286
green_space_plus_20,GN,60.6060606060606,59.71320346320346,-0.8928571428571388,0.0,0.0,0.0,0.0,0.0,0.0,-6.249999999999986
green_space_plus_20,ME,52.551524562394114,50.468191229060785,-2.0833333333333286,0.0,0.0,0.0,0.0,0.0,0.0,-14.583333333333332
green_space_plus_20,E,51.18302591128679,49.397311625572506,-1.7857142857142847,0.0,0.0,0.0,0.0,0.0,0.0,-12.49999999999999
green_space_plus_20,HE,55.37831733483909,54.18784114436289,-1.190476190476197,0.0,0.0,0.0,0.0,0.0,0.0,-8.333333333333343
green_space_plus_20,RS,52.7969916556873,51.30889641759207,-1.4880952380952337,0.0,0.0,0.0,0.0,0.0,0.0,-10.416666666666657
green_space_plus_20,T,41.7090156220591,41.41139657444005,-0.297619047619051,0.0,0.0,0.0,0.0,0.0,0.0,-2.0833333333333286
green_space_plus_20,N,64.0159357550662,63.123078612209056,-0.8928571428571388,0.0,0.0,0.0,0.0,0.0,0.0,-6.25
green_space_plus_20,PS,54.29881109228936,52.21547775895603,-2.0833333333333357,0.0,0.0,0.0,0.0,0.0,0.0,-14.58333333333334
green_space_plus_20,PN,59.608507434594394,59.31088838697534,-0.297619047619051,0.0,0.0,0.0,0.0,0.0,0.0,-2.0833333333333144
green_space_plus_20,B,60.99269088399524,60.695071836376194,-0.2976190476190439,0.0,0.0,0.0,0.0,0.0,0.0,-2.0833333333333286
green_space_plus_20,RC,47.792364640190726,46.60188844971454,-1.1904761904761898,0.0,0.0,0.0,0.0,0.0,0.0,-8.33333333333334
green_space_plus_20,KE,42.672062237279626,40.29110985632724,-2.3809523809523867,0.0,0.0,0.0,0.0,0.0,0.0,-16.66666666666667
green_space_plus_20,L,52.32919254658385,52.0315734989648,-0.2976190476190439,0.0,0.0,0.0,0.0,0.0,0.0,-2.0833333333333286
green_space_plus_20,S,46.94185645272602,45.45376121463078,-1.4880952380952408,0.0,0.0,0.0,0.0,0.0,0.0,-10.416666666666671
green_space_plus_20,RN,37.57058159232072,36.67772444946358,-0.8928571428571388,0.0,0.0,0.0,0.0,0.0,0.0,-6.249999999999986
green_space_plus_20,KW,67.0795689817429,65.88909279126669,-1.190476190476204,0.0,0.0,0.0,0.0,0.0,0.0,-8.33333333333335
green_space_plus_20,A,41.01221845787063,39.52412321977539,-1.4880952380952408,0.0,0.0,0.0,0.0,0.0,0.0,-10.416666666666675
green_space_plus_20,C,56.042960662525886,55.15010351966874,-0.8928571428571459,0.0,0.0,0.0,0.0,0.0,0.0,-6.25
green_space_plus_20,D,48.178602798168015,45.79765041721563,-2.3809523809523867,0.0,0.0,0.0,0.0,0.0,0.0,-16.66666666666667
green_space_plus_20,FS,45.21378380074032,45.21378380074032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,GS,48.59817115251898,45.6219806763285,-2.9761904761904816,0.0,0.0,0.0,0.0,-20.83333333333333,0.0,0.0
public_transport_plus_20,FN,48.796975970889015,47.01126168517472,-1.7857142857142918,0.0,0.0,0.0,0.0,-12.5,0.0,0.0
public_transport_plus_20,MW,46.19408369408369,44.110750360750366,-2.0833333333333215,0.0,0.0,0.0,0.0,-14.583333333333336,0.0,0.0
public_transport_plus_20,HW,40.54598782859652,37.86741640002509,-2.6785714285714306,0.0,0.0,0.0,0.0,-18.750000000000014,0.0,0.0
public_transport_plus_20,GN,60.6060606060606,59.11796536796536,-1.4880952380952408,0.0,0.0,0.0,0.0,-10.416666666666664,0.0,0.0
public_transport_plus_20,ME,52.551524562394114,52.551524562394114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,E,51.18302591128679,49.099692577953455,-2.0833333333333357,0.0,0.0,0.0,0.0,-14.583333333333346,0.0,0.0
public_transport_plus_20,HE,55.37831733483909,53.59260304912478,-1.785714285714306,0.0,0.0,0.0,0.0,-12.500000000000007,0.0,0.0
public_transport_plus_20,RS,52.7969916556873,51.30889641759207,-1.4880952380952337,0.0,0.0,0.0,0.0,-10.416666666666686,0.0,0.0
public_transport_plus_20,T,41.7090156220591,41.113777526821,-0.5952380952380949,0.0,0.0,0.0,0.0,-4.166666666666671,0.0,0.0
