ward_code,school_count,aided_schools,unaided_schools,municipal_schools,healthcare_facilities,dispensaries,hospitals,maternity_hospitals,uphcs,veterinary_hospitals,udise_city_schools,students_total,students_boys,students_girls,teachers_total,teachers_male,teachers_female,classrooms_total_observed,classrooms_good,classrooms_minor_repair,classrooms_major_repair,boys_toilets,boys_functional_toilets,girls_toilets,girls_functional_toilets,functional_toilets_total,cwsn_boys_toilets,cwsn_girls_toilets,cwsn_toilets_total,electricity_schools,library_schools,playground_schools,ramps_schools,handrails_schools,ict_lab_schools,internet_schools,computer_ict_lab_schools,teacher_student_ratio,female_teacher_share_pct,girls_share_pct,classrooms_repair_pct
GS,63,4,7,52,23,14,0,1,8,0,33,9391.0,4951.0,4440.0,476,125,351,366,363,3,0,153,153,164,164,317,76,53,129,33,33,38,33,41,145,33,40,0.0506868278138643,73.73949579831933,47.27930997763816,0.819672131147541
FN,120,24,25,71,17,7,2,1,7,0,83,52637.0,27010.0,25627.0,2023,501,1522,1413,1413,0,0,606,602,625,621,1223,138,124,262,83,83,97,84,101,388,83,99,0.0384330413967361,75.23479980227386,48.6862853126128,0.0
MW,87,12,22,53,22,8,2,3,9,0,58,34839.0,18354.0,16485.0,1477,397,1080,1052,1034,11,7,402,397,483,465,862,76,84,160,58,58,72,60,95,281,58,72,0.0423950170785613,73.12119160460394,47.31766124171188,1.7110266159695815
HW,71,7,28,36,14,6,1,0,7,0,74,44351.0,22553.0,21798.0,1756,347,1409,1236,1219,10,7,385,384,509,506,890,88,84,172,74,74,84,76,109,364,74,84,0.039593244797186,80.23917995444191,49.14883542648418,1.3754045307443366
GN,99,11,30,58,19,9,0,1,9,0,61,26435.0,14816.0,11619.0,1060,239,821,825,820,3,2,382,382,359,359,741,77,72,149,61,61,73,62,90,344,61,72,0.0400983544543219,77.45283018867924,43.9530924910157,0.6060606060606061
ME,136,13,51,72,25,10,0,1,14,0,115,42028.0,21707.0,20321.0,1782,575,1207,1504,1463,28,13,523,519,559,554,1073,168,170,338,115,115,148,116,142,613,115,138,0.0424003045588655,67.73288439955107,48.35109926715523,2.7260638297872344
E,86,12,24,50,23,12,3,0,8,0,45,31165.0,16642.0,14523.0,1050,248,802,799,797,2,0,273,273,373,373,646,53,63,116,45,45,52,45,62,210,45,51,0.0336916412642387,76.38095238095238,46.60035296005134,0.2503128911138924
HE,88,12,20,56,16,6,1,1,8,0,48,22209.0,11570.0,10639.0,935,243,692,725,719,6,0,378,376,510,510,886,73,69,142,48,48,52,48,69,229,48,61,0.04210004952947,74.01069518716578,47.90400288171462,0.8275862068965517
RS,106,22,41,43,16,5,1,1,9,0,98,76445.0,42010.0,34435.0,2745,775,1970,2209,2202,7,0,1035,1035,1166,1166,2201,151,130,281,98,98,118,99,123,601,98,110,0.0359081692720256,71.76684881602914,45.04545751847734,0.3168854685377999
T,80,11,23,46,13,3,2,1,7,0,54,27546.0,14211.0,13335.0,1341,246,1095,942,942,0,0,378,378,477,477,855,97,103,200,54,54,60,54,67,319,54,68,0.0486822043127858,81.65548098434004,48.40993247658462,0.0
N,121,22,32,67,16,8,1,0,7,0,90,49243.0,24751.0,24492.0,1979,554,1425,1443,1414,29,0,505,505,601,601,1106,120,124,244,90,90,103,91,103,410,90,109,0.0401884531811628,72.00606366851945,49.73701845947648,2.0097020097020097
PS,80,15,24,41,13,2,1,2,8,0,69,49698.0,25494.0,24204.0,2013,376,1637,1418,1410,8,0,677,677,726,726,1403,152,146,298,69,69,79,71,103,444,69,80,0.0405046480743691,81.32141082960756,48.70216105275866,0.5641748942172073
PN,167,31,74,62,30,12,2,3,13,0,150,73575.0,37792.0,35783.0,2629,651,1978,2298,2264,33,1,752,748,856,856,1604,228,252,480,150,150,184,159,266,927,150,166,0.0357322460074753,75.23773297831875,48.634726469588855,1.4795474325500435
B,30,9,7,14,4,2,0,0,2,0,21,10681.0,5164.0,5517.0,407,71,336,342,342,0,0,101,101,118,118,219,15,23,38,21,21,33,21,28,86,21,25,0.0381050463439752,82.55528255528255,51.65246699747215,0.0
RC,95,28,27,40,18,7,0,3,8,0,73,35544.0,18672.0,16872.0,1567,316,1251,1340,1333,1,6,662,662,840,840,1502,143,169,312,73,73,80,75,103,444,73,79,0.0440862030159801,79.83407785577536,47.4679270762998,0.5223880597014926
KE,138,23,44,71,36,13,1,3,19,0,103,57340.0,30533.0,26807.0,2098,530,1568,1680,1674,5,1,819,799,915,876,1675,168,195,363,103,103,119,106,165,598,103,113,0.03658876874782,74.73784556720686,46.75095919079177,0.3571428571428571
L,179,36,55,88,34,14,2,1,17,0,109,60190.0,32015.0,28175.0,2250,617,1633,1614,1593,20,1,682,682,677,670,1352,156,151,307,109,109,131,110,147,574,109,141,0.037381624854627,72.57777777777777,46.810101345738495,1.3011152416356877
S,144,44,45,55,30,9,1,3,17,0,110,56804.0,30194.0,26610.0,2319,659,1660,1888,1860,25,3,743,736,732,725,1461,177,160,337,110,110,128,112,154,547,110,133,0.0408245898176184,71.58257869771452,46.84529258502923,1.4830508474576272
RN,61,19,23,19,16,5,2,0,9,0,58,37430.0,20215.0,17215.0,1405,283,1122,1237,1237,0,0,626,626,648,648,1274,120,133,253,58,58,67,60,85,362,58,64,0.037536735239113,79.8576512455516,45.99251936948971,0.0
KW,116,17,44,55,14,5,1,0,7,1,115,74683.0,38279.0,36404.0,3215,663,2552,2209,2194,4,11,967,962,1116,1112,2074,195,207,402,115,115,135,122,204,780,115,148,0.0430486188289168,79.37791601866252,48.744694240991926,0.6790402897238569
A,27,1,13,13,12,4,4,0,3,1,53,31676.0,16295.0,15381.0,1472,319,1153,923,892,31,0,389,389,493,493,882,61,79,140,53,53,68,53,70,289,53,65,0.046470513953782,78.3288043478261,48.55726733173381,3.358613217768147
C,23,5,9,9,18,12,2,1,3,0,17,6828.0,3736.0,3092.0,221,58,163,197,189,7,1,92,92,101,101,193,21,31,52,17,17,21,17,22,51,17,21,0.0323667252489748,73.7556561085973,45.28412419449327,4.060913705583756
D,63,10,30,23,5,2,0,0,3,0,69,27782.0,13466.0,14316.0,1329,291,1038,915,909,6,0,355,354,479,479,833,103,145,248,69,69,79,70,87,376,69,82,0.0478367288172197,78.1038374717833,51.52976747534375,0.6557377049180327
FS,63,16,10,37,19,8,2,1,7,1,44,14394.0,8132.0,6262.0,639,208,431,497,488,9,0,240,240,215,213,453,72,64,136,44,44,54,44,58,169,44,54,0.0443934972905377,67.4491392801252,43.50423787689315,1.8108651911468812
