k,silhouette_score,davies_bouldin_score,min_cluster_size,max_cluster_size
2,0.3205365904017666,1.1352177557696006,8,16
3,0.39853816495542577,0.856652300071746,5,13
4,0.40791439984140104,0.6670684526859842,1,12
5,0.387626945264327,0.7011298266337914,1,10
6,0.37184637701194245,0.6746048859356204,1,10
