openaq_location_id,station_name,urban_ward_code,parameter_count,common_first_utc,common_last_utc,pm25_first_utc,pm25_last_utc,temperature_first_utc,temperature_last_utc,relativehumidity_first_utc,relativehumidity_last_utc,wind_speed_first_utc,wind_speed_last_utc,wind_direction_first_utc,wind_direction_last_utc,no2_first_utc,no2_last_utc,o3_first_utc,o3_last_utc,so2_first_utc,so2_last_utc,co_first_utc,co_last_utc,common_history_days
12024,"Chakala-Andheri East, Mumbai - IITM",KE,9,2025-10-10 18:15:00+00:00,2026-06-16 07:30:00+00:00,2020-12-08 09:00:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-06-16 07:30:00+00:00,2025-02-18 20:15:00+00:00,2026-06-16 07:30:00+00:00,2025-10-10 18:15:00+00:00,2026-06-16 07:30:00+00:00,2025-10-10 18:15:00+00:00,2026-06-16 07:30:00+00:00,2020-12-08 09:00:00+00:00,2026-09-17 14:30:00+00:00,2020-12-08 09:00:00+00:00,2026-09-17 14:30:00+00:00,2020-12-08 09:00:00+00:00,2026-09-17 14:30:00+00:00,2020-12-08 09:00:00+00:00,2026-09-17 14:30:00+00:00,248.55208333333334
6987,"Vile Parle West, Mumbai - MPCB",KW,9,2025-10-10 18:15:00+00:00,2025-12-08 04:15:00+00:00,2019-06-18 23:00:00+00:00,2026-05-30 09:30:00+00:00,2025-02-18 20:15:00+00:00,2026-01-10 12:15:00+00:00,2025-02-18 20:15:00+00:00,2026-01-10 12:15:00+00:00,2025-10-10 18:15:00+00:00,2026-01-10 12:15:00+00:00,2025-10-10 18:15:00+00:00,2026-01-10 12:15:00+00:00,2019-06-18 23:00:00+00:00,2026-05-30 09:30:00+00:00,2019-06-18 23:00:00+00:00,2025-12-08 04:15:00+00:00,2019-06-18 23:00:00+00:00,2026-05-30 09:30:00+00:00,2019-06-18 23:00:00+00:00,2026-05-30 09:30:00+00:00,58.416666666666664
6945,"Kurla, Mumbai - MPCB",L,9,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2019-06-19 00:00:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2019-06-19 00:00:00+00:00,2026-09-17 14:30:00+00:00,2019-06-19 00:00:00+00:00,2026-09-17 14:30:00+00:00,2019-06-19 00:00:00+00:00,2026-09-17 14:30:00+00:00,2019-06-19 00:00:00+00:00,2026-09-17 14:30:00+00:00,341.84375
8039,Mumbai,L,1,2016-11-09 19:00:00+00:00,2026-09-18 08:30:00+00:00,2016-11-09 19:00:00+00:00,2026-09-18 08:30:00+00:00,,,,,,,,,,,,,,,,,3599.5625
3409329,"Deonar, Mumbai - IITM",ME,9,2025-10-10 18:15:00+00:00,2026-06-26 07:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-06-26 07:30:00+00:00,2025-02-18 20:15:00+00:00,2026-06-26 07:30:00+00:00,2025-10-10 18:15:00+00:00,2026-06-26 07:30:00+00:00,2025-10-10 18:15:00+00:00,2026-06-26 07:30:00+00:00,2025-02-18 20:30:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:30:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:30:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:30:00+00:00,2026-09-17 14:30:00+00:00,258.5520833333333
3409483,"Chembur, Mumbai - MPCB",ME,9,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,341.84375
3409511,"Shivaji Nagar, Mumbai - BMC",ME,9,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,341.84375
3409514,"Ghatkopar, Mumbai - BMC",N,9,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,341.84375
11611,"Malad West, Mumbai - IITM",PN,9,2025-10-14 06:45:00+00:00,2026-03-07 15:15:00+00:00,2020-11-13 12:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-03-07 15:15:00+00:00,2025-02-18 20:15:00+00:00,2026-03-07 15:15:00+00:00,2025-10-14 06:45:00+00:00,2026-03-07 15:15:00+00:00,2025-10-14 06:45:00+00:00,2026-03-07 15:15:00+00:00,2020-11-13 12:15:00+00:00,2026-09-17 14:30:00+00:00,2020-11-13 12:15:00+00:00,2026-09-17 14:30:00+00:00,2020-11-13 12:15:00+00:00,2026-09-17 14:30:00+00:00,2020-11-13 12:15:00+00:00,2026-09-17 14:30:00+00:00,144.35416666666666
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,9,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 18:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,341.84375
6965,"Borivali East, Mumbai - MPCB",RC,9,2025-12-09 07:45:00+00:00,2026-06-18 02:45:00+00:00,2019-06-20 16:00:00+00:00,2026-09-17 14:30:00+00:00,2025-02-20 08:30:00+00:00,2026-08-22 05:00:00+00:00,2025-02-20 08:30:00+00:00,2026-08-14 07:15:00+00:00,2025-12-09 07:45:00+00:00,2026-09-17 14:30:00+00:00,2025-12-09 07:45:00+00:00,2026-08-14 07:15:00+00:00,2019-06-20 16:00:00+00:00,2026-09-17 14:30:00+00:00,2019-06-20 16:00:00+00:00,2026-06-18 02:45:00+00:00,2019-06-20 16:00:00+00:00,2026-09-17 14:30:00+00:00,2019-06-20 16:00:00+00:00,2026-09-17 14:30:00+00:00,190.79166666666666
11606,"Borivali East, Mumbai - IITM",RC,8,2025-10-14 10:30:00+00:00,2026-02-13 09:00:00+00:00,2020-11-13 12:30:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-02-13 09:00:00+00:00,2025-02-18 20:15:00+00:00,2026-02-13 09:00:00+00:00,2025-10-14 10:30:00+00:00,2026-02-13 09:00:00+00:00,2025-10-14 10:30:00+00:00,2026-02-13 09:00:00+00:00,2020-11-13 12:30:00+00:00,2026-09-17 14:30:00+00:00,2020-11-13 12:30:00+00:00,2026-09-17 14:30:00+00:00,,,2020-11-13 12:30:00+00:00,2026-09-17 14:30:00+00:00,121.9375
3409512,"Kandivali West, Mumbai - BMC",RC,9,2025-10-10 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,341.7604166666667
12044,"Kandivali East, Mumbai - MPCB",RS,9,2025-10-10 20:45:00+00:00,2026-04-03 07:00:00+00:00,2020-12-16 12:30:00+00:00,2026-04-18 05:45:00+00:00,2025-02-18 20:15:00+00:00,2026-04-03 07:00:00+00:00,2025-02-18 20:15:00+00:00,2026-04-03 07:00:00+00:00,2025-10-10 20:45:00+00:00,2026-04-03 07:00:00+00:00,2025-10-10 20:45:00+00:00,2026-04-03 07:00:00+00:00,2020-12-16 12:30:00+00:00,2026-04-18 05:45:00+00:00,2020-12-16 12:30:00+00:00,2026-04-16 00:15:00+00:00,2020-12-16 12:30:00+00:00,2026-04-16 00:15:00+00:00,2020-12-16 12:30:00+00:00,2026-04-18 05:45:00+00:00,174.42708333333334
6956,"Powai, Mumbai - MPCB",S,9,2025-10-10 18:15:00+00:00,2026-07-04 07:45:00+00:00,2019-06-18 23:15:00+00:00,2026-09-15 01:15:00+00:00,2025-02-18 20:15:00+00:00,2026-08-19 19:15:00+00:00,2025-02-18 20:15:00+00:00,2026-08-19 19:15:00+00:00,2025-10-10 18:15:00+00:00,2026-08-19 19:15:00+00:00,2025-10-10 18:15:00+00:00,2026-08-19 19:15:00+00:00,2019-06-18 23:15:00+00:00,2026-09-17 14:30:00+00:00,2019-06-18 23:15:00+00:00,2026-07-04 07:45:00+00:00,2019-06-18 23:15:00+00:00,2026-09-17 14:30:00+00:00,2019-06-18 23:15:00+00:00,2026-08-02 05:30:00+00:00,266.5625
12039,"Khindipada-Bhandup West, Mumbai - IITM",T,9,2025-10-14 06:45:00+00:00,2026-04-22 18:00:00+00:00,2020-12-16 12:45:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-14 06:45:00+00:00,2026-04-22 18:00:00+00:00,2025-10-14 06:45:00+00:00,2026-04-22 18:00:00+00:00,2020-12-16 12:45:00+00:00,2026-09-17 14:30:00+00:00,2020-12-16 12:45:00+00:00,2026-09-17 14:30:00+00:00,2020-12-16 12:45:00+00:00,2026-09-17 14:30:00+00:00,2020-12-16 12:45:00+00:00,2026-09-17 14:30:00+00:00,190.46875
12040,"Mulund West, Mumbai - MPCB",T,9,2025-10-10 20:30:00+00:00,2025-12-26 08:00:00+00:00,2020-12-16 12:30:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-02-18 20:15:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 20:30:00+00:00,2026-09-17 14:30:00+00:00,2025-10-10 20:30:00+00:00,2026-09-17 14:30:00+00:00,2020-12-16 12:30:00+00:00,2026-09-17 14:30:00+00:00,2020-12-16 12:30:00+00:00,2025-12-26 08:00:00+00:00,2020-12-16 12:30:00+00:00,2026-09-17 14:30:00+00:00,2020-12-16 12:30:00+00:00,2026-09-17 14:30:00+00:00,76.47916666666667
