district_area,pseudocode,facility_building_status,facility_no_building_blocks,facility_pucca_building_blocks,facility_boundary_wall,facility_total_class_rooms,facility_other_rooms,facility_classrooms_in_good_condition,facility_classrooms_needs_minor_repair,facility_classrooms_needs_major_repair,facility_separate_room_for_hm,facility_total_boys_toilet,facility_total_boys_func_toilet,facility_total_girls_toilet,facility_total_girls_func_toilet,facility_total_boys_cwsn_toilet,facility_func_boys_cwsn_friendly,facility_total_girls_cwsn_toilet,facility_func_girls_cwsn_friendly,facility_urinal_boys,facility_urinal_girls,facility_handwash_near_toilet,facility_hand_pump_yn,facility_well_prot_yn,facility_tap_yn,facility_othsrc_yn,facility_well_unprot_yn,facility_pack_water_yn,facility_hand_pump_fun_yn,facility_well_prot_fun_yn,facility_tap_fun_yn,facility_othsrc_fun_yn,facility_well_unprot_fun_yn,facility_pack_water_fun_yn,facility_rain_water_harvesting,facility_handwash_facility_for_meal,facility_electricity_availability,facility_solar_panel,facility_library_availability,facility_book_bank,facility_reading_corner,facility_playground_available,facility_playground_alt_yn,facility_medical_checkups,facility_availability_ramps,facility_availability_of_handrails,facility_furniture_availability,facility_phy_lab_cond,facility_chem_lab_cond,facility_bio_lab_cond,facility_math_lab_cond,facility_lang_lab_cond,facility_geo_lab_cond,facility_home_sc_lab_cond,facility_psycho_lab_cond,facility_comp_lab_cond,facility_comp_ict_lab_yn,facility_ict_lab_yn,facility_laptop,facility_tablet,facility_desktop,facility_digiboard,facility_teachdev_tot,facility_server_tot,facility_smart_class_tv_tot,facility_projector,facility_printer,facility_internet,facility_dth,facility_spl_educator_yn,teacher_total_tch,teacher_male,teacher_female,teacher_transgender,teacher_gen_tch,teacher_sc_tch,teacher_st_tch,teacher_obc_tch,teacher_regular,teacher_contract,teacher_part_time,teacher_below_graduate,teacher_graduate,teacher_post_graduate_and_above,teacher_trained_comp,teacher_class_taught_pr,teacher_class_taught_upr,teacher_class_taught_pr_upr,teacher_class_taught_sec_only,teacher_class_taught_hsec_only,teacher_class_taught_upr_sec,teacher_class_taught_sec_hsec,teacher_class_taugt_pre_primary_only,teacher_class_taught_pr_and_pre_pri,teacher_teacher_involve_non_training_assignment,teacher_diploma_certificate,teacher_bachelor_of_ee,teacher_bed_equivalent,teacher_med_equivalent,teacher_other,teacher_none,teacher_diploma_special_edu,teacher_pursuing_rpc,teacher_diploma_ele_edu,teacher_early_childhood_tch,teacher_bed_nursery,teacher_trained_cwsn
Mumbai City,7108082,1,0,1,1,0,6,10,0,0,1,3,3,3,3,1,1,1,1,5,5,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,14,0,0,0,0,1,2,1,2,3,20,13,7,0,20,0,0,0,20,0,0,5,9,6,0,0,0,0,1,0,19,0,0,0,17,5,0,15,0,0,0,0,0,0,0,0,0
Mumbai City,7115834,1,0,1,1,0,13,14,0,0,1,10,10,6,6,1,1,1,1,10,6,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,4,4,4,2,4,1,1,9,2,0,26,0,26,1,0,3,6,1,2,1,17,3,14,0,16,0,0,1,17,0,0,1,2,14,12,0,0,0,6,5,3,3,0,0,7,0,0,13,1,0,0,2,1,0,0,0,3
Mumbai City,7116787,2,0,1,1,0,6,6,0,0,1,3,3,3,3,3,3,3,3,9,9,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,15,1,2,6,2,1,2,2,9,5,4,0,3,2,0,3,9,0,0,0,4,5,9,0,0,3,5,0,1,0,0,0,6,2,0,7,0,0,0,0,0,0,0,0,0
Mumbai City,7133447,1,0,1,1,0,10,31,0,0,1,12,12,15,15,11,11,7,7,25,22,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,5,0,5,0,0,1,0,31,3,1,1,3,45,2,43,0,44,1,0,0,45,0,0,2,22,21,40,18,1,10,15,0,1,0,0,0,0,2,8,27,0,6,0,0,0,2,0,0,5
Mumbai City,7135911,2,0,1,1,0,5,8,0,0,1,5,5,3,3,0,0,1,1,5,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,22,0,3,1,8,10,6,1,1,3,21,4,17,0,14,4,0,2,21,0,0,0,6,15,15,4,9,0,8,0,0,0,0,0,0,1,0,14,0,0,0,1,0,0,5,0,1
Mumbai City,7143909,1,0,1,1,0,3,7,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,1,11,0,0,0,0,0,1,1,2,3,3,0,3,0,3,0,0,0,3,0,0,0,1,2,3,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Mumbai City,7154110,2,0,1,1,0,6,6,0,0,1,6,6,3,3,1,1,3,3,7,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,30,2,15,0,0,0,1,1,1,2,2,11,6,5,0,3,1,0,6,11,0,0,0,4,7,5,1,3,0,7,0,0,0,0,0,3,3,0,7,1,0,0,0,0,0,0,0,1
Mumbai City,7168525,1,0,1,1,0,5,68,0,0,1,22,22,25,25,1,1,1,1,22,26,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,8,2,166,0,0,0,6,42,14,1,2,3,98,26,72,0,98,0,0,0,71,5,22,7,48,43,94,41,11,6,22,0,18,0,0,0,0,1,0,74,1,17,3,0,1,1,0,0,91
Mumbai City,7174128,1,0,1,1,0,10,10,0,0,1,15,15,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,50,52,400,0,0,4,23,6,1,1,3,9,1,8,0,9,0,0,0,9,0,0,0,6,3,9,2,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0
Mumbai City,7175087,1,0,1,1,0,7,15,0,0,1,2,2,2,2,0,0,0,0,4,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,4,4,4,4,4,4,4,4,1,1,2,15,0,34,0,0,1,0,4,3,1,1,2,15,6,9,0,13,1,0,1,14,1,0,0,4,11,15,0,0,0,0,15,0,0,0,0,1,0,0,4,0,11,0,0,0,0,0,0,0
Mumbai City,7176235,1,0,3,1,0,10,14,0,0,1,1,1,1,1,1,1,1,1,2,0,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,9,2,1,2,1,1,1,1,4,4,4,4,4,1,1,9,5,0,1,0,38,1,2,0,1,1,1,1,2,1,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mumbai City,7177236,2,0,1,1,0,8,4,0,0,1,7,7,9,9,1,1,1,1,8,10,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,4,4,4,4,4,4,1,9,3,0,25,0,10,1,1,2,4,1,2,3,3,2,1,0,3,0,0,0,2,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Mumbai City,7188039,1,0,3,1,0,6,16,0,0,1,9,9,8,8,1,1,1,1,6,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,0,10,0,7,0,0,0,1,1,2,3,33,1,32,0,23,7,0,3,32,0,1,16,9,8,19,15,0,18,0,0,0,0,0,0,0,8,0,12,1,3,0,0,1,8,0,0,0
Mumbai City,7188401,1,0,1,1,0,4,3,0,0,1,1,1,0,0,1,0,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,1,0,1,2,1,2,2,4,1,3,0,1,0,0,3,3,1,0,0,2,2,3,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
Mumbai City,7197061,2,0,1,1,0,8,15,2,0,1,20,20,0,0,1,0,0,0,25,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,1,0,1,19,3,1,2,2,22,3,19,0,18,2,0,1,21,1,0,2,14,6,15,0,2,0,12,0,8,0,0,0,0,8,0,12,0,0,0,2,0,0,0,0,0
Mumbai City,7202385,2,0,1,1,0,7,6,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,12,0,0,1,0,1,1,1,2,2,5,2,3,0,5,0,0,0,3,1,1,2,3,0,5,0,0,0,4,0,1,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,3
Mumbai City,7205814,2,0,1,1,0,5,8,0,0,1,6,6,6,6,1,1,1,1,10,8,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,25,0,0,1,1,6,3,1,2,3,7,2,5,0,4,1,1,1,7,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0
