facility_id,name,service_type,source_ward,gis_ward,latitude,longitude,coordinate_status,name_status
HC_00069,Matunga Labour Camp Dispensary,dispensary,GN,GN,19.03,72.85,shared_coordinate,unique_name
HC_00070,Pilla Bunglow Dispensary,dispensary,GN,GN,19.05,72.86,shared_coordinate,unique_name
HC_00071,Dharavi Main Road Dispensary,dispensary,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00072,Transit Camp Dispensary,dispensary,GN,FN,19.04,72.86,shared_coordinate,unique_name
HC_00073,Kumbharwada Dispensary,dispensary,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00074,Prabhat Colony Dispensary,dispensary,HE,HW,19.09,72.84,shared_coordinate,unique_name
HC_00076,Swami Vivekanand Nagar Dispensary,dispensary,HE,HE,19.08,72.85,shared_coordinate,unique_name
HC_00077,Kalina Dispensary,dispensary,HE,HE,19.08,72.86,shared_coordinate,unique_name
HC_00078,Bharat Nagar Dispensary,dispensary,HE,HE,19.06,72.86,shared_coordinate,unique_name
HC_00079,Kherwadi Dispensary,dispensary,HE,HE,19.06,72.85,shared_coordinate,unique_name
HC_00083,Shastri Nagar Dispensary,dispensary,HW,HW,19.09,72.84,shared_coordinate,duplicate_name
HC_00084,Khar Danda Dispensary,dispensary,HW,HW,19.07,72.83,shared_coordinate,unique_name
HC_00085,Old Khar Dispensary,dispensary,HW,HW,19.07,72.84,shared_coordinate,unique_name
HC_00086,Sambhaji Nagar Dispensary,dispensary,KE,KE,19.11,72.85,shared_coordinate,unique_name
HC_00088,Paranjape Dispensary,dispensary,KE,KE,19.1,72.85,shared_coordinate,unique_name
HC_00089,Koldongari Dispensary,dispensary,KE,KE,19.11,72.85,shared_coordinate,unique_name
HC_00090,Natwar Nagar Dispensary,dispensary,KE,KE,19.13,72.85,shared_coordinate,unique_name
HC_00091,Marol Dispensary,dispensary,KE,KE,19.11,72.88,shared_coordinate,unique_name
HC_00092,Caves Road Dispensary,dispensary,KE,KE,19.14,72.86,shared_coordinate,unique_name
HC_00094,Hari Nagar Dispensary,dispensary,KE,KE,19.13,72.86,shared_coordinate,unique_name
HC_00097,N.J.Wadia Dispensary,dispensary,KW,KE,19.12,72.85,shared_coordinate,unique_name
HC_00098,Oshiwara Dispensary,dispensary,KW,PS,19.15,72.85,shared_coordinate,unique_name
HC_00099,Parle Market Dispensary,dispensary,KW,KW,19.1,72.84,shared_coordinate,unique_name
HC_00100,Versova Dispensary,dispensary,KW,KW,19.14,72.81,shared_coordinate,unique_name
HC_00103,Millat Nagar Dispensary,dispensary,KW,KW,19.15,72.83,shared_coordinate,unique_name
HC_00104,Topiwala Dispensary,dispensary,PS,PS,19.17,72.84,shared_coordinate,unique_name
HC_00105,Chincholi Squatter's Dispensary,dispensary,PS,PN,19.18,72.85,shared_coordinate,unique_name
HC_00106,Sunder Nagar Dispensary,dispensary,PS,S,19.1246,72.8962,shared_coordinate,unique_name
HC_00107,Choksy Dispensary,dispensary,PN,PN,19.19,72.84,shared_coordinate,unique_name
HC_00108,Nemani Dispensary,dispensary,PN,PN,19.18,72.85,shared_coordinate,unique_name
HC_00109,Malvani Dispensary,dispensary,PN,PN,19.19,72.82,shared_coordinate,unique_name
HC_00110,Rathodi Dispensary,dispensary,PN,PN,19.19,72.82,shared_coordinate,unique_name
HC_00111,Goshala Dispensary,dispensary,PN,PN,19.19,72.85,shared_coordinate,unique_name
HC_00112,Kurar Village Dispensary,dispensary,PN,PN,19.19,72.86,shared_coordinate,unique_name
HC_00113,Pathanwadi Dispensary,dispensary,PN,PN,19.18,72.86,shared_coordinate,unique_name
HC_00114,Riddhi Garden Dispensary,dispensary,PN,PN,19.18,72.87,shared_coordinate,unique_name
HC_00117,School Road Dispensary,dispensary,PN,PN,19.18,72.86,shared_coordinate,unique_name
HC_00118,Akurli Dispensary,dispensary,RS,RS,19.2,72.85,shared_coordinate,unique_name
HC_00119,Hanuman Nagar Dispensary,dispensary,RS,RS,19.21,72.87,shared_coordinate,unique_name
HC_00121,Charkop Sector 1 Dispensary,dispensary,RS,RS,19.21,72.83,shared_coordinate,unique_name
HC_00122,Babrekar Nagar Dispensary,dispensary,RS,RS,19.2,72.83,shared_coordinate,unique_name
HC_00123,New Centenary Dispensary,dispensary,RS,MW,19.05,72.91,shared_coordinate,unique_name
HC_00124,M.H.B. Dispensary,dispensary,RC,RC,19.23,72.84,shared_coordinate,unique_name
HC_00125,Gorai MHADA Dispensary,dispensary,RC,RC,19.23,72.83,shared_coordinate,unique_name
HC_00126,Charkop Sector 5 Dispensary,dispensary,RC,RC,19.22,72.83,shared_coordinate,unique_name
HC_00127,Kajupada Dispensary,dispensary,RC,RC,19.23,72.87,shared_coordinate,duplicate_name
HC_00131,Y R Tawde Dispensary,dispensary,RN,RN,19.25,72.86,shared_coordinate,unique_name
HC_00132,Shastri Nagar Dispensary,dispensary,RN,RN,19.25,72.85,shared_coordinate,duplicate_name
HC_00133,L T Road Dispensary,dispensary,RN,RN,19.25,72.86,shared_coordinate,unique_name
HC_00134,Anand Nagar Dispensary,dispensary,RN,RN,19.26,72.86,shared_coordinate,unique_name
HC_00135,Pramila Nagar Dispensary,dispensary,RN,RN,19.2605,72.8737,shared_coordinate,unique_name
HC_00136,Bail Bazar Dispensary,dispensary,L,L,19.08,72.88,shared_coordinate,unique_name
HC_00137,Bibi Fatima Dispensary,dispensary,L,S,19.1192,72.92,shared_coordinate,unique_name
HC_00140,Kajupada Dispensary,dispensary,L,L,19.09,72.89,shared_coordinate,duplicate_name
HC_00141,Nehru Nagar Dispensary,dispensary,L,MW,19.06,72.89,shared_coordinate,unique_name
HC_00142,Chunabhatti Dispensary,dispensary,L,KE,19.1315,72.8846,shared_coordinate,unique_name
