pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
7819728,3,0,1,1,0,6,18,0,0,1,2,2,4,4,1,1,1,1,6,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,61,2,0,2,0,2,1,2,1,2,2
3181473,1,0,1,6,0,2,5,0,0,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,2,0,0,0,0,0,1,1,1,2
1036813,3,0,1,1,0,8,8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,11,0,0,0,1,1,1,1,2,2
7361658,3,0,1,1,0,7,3,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,219,12,0,1,2,1,1,2,1,2,3
6417096,2,0,1,1,0,12,10,0,0,1,6,6,6,6,1,1,1,1,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,10,10,0,8,1,1,1,2,1,1,2
9734011,2,0,1,3,0,3,12,0,0,1,3,3,3,3,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,3,0,0,0,2,1,2,1,2,2
9469811,2,0,1,1,0,5,11,0,0,1,2,2,2,2,1,1,0,0,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,11,0,0,0,6,6,3,1,2,3
9001185,2,0,1,1,0,8,8,0,0,1,7,7,7,7,1,1,1,1,7,7,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,2,0,50,1,5,6,2,1,1,2
9783889,2,0,1,1,0,8,6,0,0,1,4,4,4,4,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,30,0,28,30,0,2,2,1,2,2
2198025,3,0,1,1,0,7,18,2,0,1,6,3,6,3,1,1,1,1,14,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,36,2,0,0,0,1,1,1,1,2,2
3677714,3,0,24,1,0,14,24,0,0,1,6,6,4,4,1,1,1,1,6,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,120,1,0,1,0,2,0,1,1,1,2
5281054,1,0,1,1,0,18,14,0,0,1,15,15,10,10,1,1,1,1,25,25,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,25,50,16,0,1,1,1,1,2,2
2358224,3,0,1,1,0,7,14,0,0,1,4,4,4,4,1,1,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,10,0,1,0,0,0,0,2,1,1,2,1
8209843,1,0,1,1,0,8,8,0,0,1,8,8,2,2,0,0,1,1,8,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,30,0,0,0,1,1,3,1,2,2
9151221,3,0,1,1,0,7,16,0,0,1,3,1,3,1,1,1,0,0,4,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,1,2,1,1,2,3
3298299,1,0,1,1,0,3,2,0,0,1,3,3,5,5,1,1,1,1,5,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,10,0,0,0,1,1,1,1,2,3
5765052,2,0,1,3,0,4,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,1,0,1,1,2,1,1,3
1222980,2,0,1,1,0,3,6,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,2,9,4,0,2,0,0,0,0,0,1,1,2,3
8079253,1,0,1,6,0,3,15,0,0,1,3,3,3,3,1,1,1,1,10,8,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,1,1,1,2,3
7407764,1,0,1,1,0,6,4,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,1,20,0,0,0,0,1,2,1,2,2
1887741,2,0,1,1,0,6,24,0,0,1,22,22,10,10,2,2,2,2,22,10,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,2,1,50,0,24,1,24,24,3,1,2,2
4687430,3,0,1,1,0,9,27,0,0,1,6,6,9,9,1,1,1,1,8,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,300,12,0,11,1,2,0,1,1,2,2
3872023,4,0,1,1,0,7,7,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,32,2,0,15,0,1,2,2,1,1,2
1787109,4,0,1,1,0,8,4,4,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,2,2,2
7018377,3,0,1,1,0,4,5,3,0,1,4,4,4,4,1,1,1,1,6,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,1,1,2
9063430,3,0,1,1,0,5,4,0,0,1,3,3,3,3,2,2,2,2,6,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,13,0,0,0,1,1,1,1,2,2
