pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
9350807,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 30",,,,6,3,1,10,5,400067,2,2,3,0,1,19,0,0,0,3,0,1,1,9,189,1,19,16,3,9,0,0
6346018,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 82",,,,6,3,5,10,5,400059,2,2,3,0,2,19,4,10,0,2,0,1,9,9,190,1,0,0,0,0,0,0
5639873,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","G/North - Ward No. 185",,,,6,3,1,10,5,400028,2,2,3,0,2,19,0,0,0,1,0,1,2,9,0,1,34,24,1,1,0,0
7797655,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 45",,,,6,3,1,10,5,400097,2,2,3,0,1,19,0,0,0,3,0,1,2,9,0,1,21,11,13,3,0,0
2190094,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 144",,,,6,3,5,10,5,400071,2,2,3,0,2,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
2453399,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 146",,,,6,3,1,10,101,400094,2,2,3,0,2,19,0,0,0,1,0,1,2,2,212,2,0,0,0,1,0,0
5068210,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 28",,,,6,3,5,10,4,400101,2,2,3,0,1,4,0,0,0,2,0,1,9,2,0,1,0,0,0,0,0,0
6649567,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 84",,,,6,3,5,10,4,400069,2,2,3,0,2,10,0,0,0,2,0,1,9,2,0,1,0,0,0,0,0,0
5682490,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 24",,,,6,3,1,10,5,400101,2,2,3,0,1,19,0,0,0,3,0,1,2,9,0,1,27,15,13,6,0,0
4994853,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 171",,,,6,3,5,10,4,400086,2,2,3,0,1,19,0,0,0,2,0,1,9,2,192,1,0,0,0,0,0,0
