pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
4125304,3,0,2,1,0,12,58,0,0,1,16,16,16,16,4,4,4,4,16,16,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,0,24,71,65,10,1,34,24,9,1,1,3
9918267,1,0,1,1,0,6,12,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,30,0,7,1,0,6,3,1,2,2
9188838,1,0,1,5,0,3,8,0,0,1,6,6,6,6,1,1,0,0,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,5,29,1,29,10,1,1,1,3,1,2,3
1856162,2,0,1,1,0,2,6,0,0,1,1,1,1,1,1,1,1,1,6,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,0,0,1,0,2,0,0,0,1,1,2,3
6584881,1,0,1,1,0,7,17,0,0,1,4,4,12,12,4,4,4,4,16,12,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,5,0,30,0,30,1,22,22,5,1,2,1
2341341,2,0,1,1,0,6,12,0,0,1,0,0,7,7,0,0,2,2,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,18,0,0,1,12,1,2,1,2,3
6185740,1,0,1,1,0,20,10,0,0,1,6,6,5,5,1,1,1,1,8,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,4,4,4,4,4,4,4,4,4,1,9,2,0,20,0,0,0,0,1,4,1,2,2
5086615,1,0,1,5,0,6,15,0,0,1,2,2,5,5,1,1,1,1,3,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,1,0,1,1,2,1,2,3
8051294,2,0,1,5,0,6,3,0,0,1,1,1,1,1,0,0,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,1,1,1,2,3
5795561,1,0,1,7,0,10,8,0,0,1,1,1,4,4,1,1,1,1,4,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,15,0,1,1,1,1,2,1,1,3
