pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
2421154,17,5,12,0,17,0,0,0,16,1,0,0,5,12,15,3,2,4,4,0,4,0,0,0,5,2,0,10,2,2,0,0,0,1,0,0,0
2421477,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2424914,23,3,20,0,23,0,0,0,23,0,0,10,10,3,21,8,3,4,2,0,6,0,0,0,4,0,2,9,0,1,0,0,0,11,0,0,0
2430407,15,5,10,0,15,0,0,0,15,0,0,0,11,4,6,0,2,0,5,0,8,0,0,0,0,0,0,11,1,2,1,0,0,0,0,0,0
2435889,13,8,5,0,12,1,0,0,13,0,0,0,5,8,13,0,0,3,0,0,10,0,0,0,11,0,0,8,0,1,0,0,0,4,0,0,0
2441087,8,0,8,0,8,0,0,0,8,0,0,0,5,3,3,2,0,1,3,0,2,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0
2451206,2,2,0,0,1,1,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2452094,27,4,23,0,15,2,0,8,27,0,0,0,16,11,26,4,0,2,11,0,10,0,0,0,7,7,0,19,1,0,0,0,0,0,0,0,0
2453399,34,10,24,0,22,2,1,9,26,8,0,1,16,17,18,12,0,3,15,0,4,0,0,0,15,2,0,21,2,5,1,0,0,3,0,0,0
2454071,14,3,11,0,14,0,0,0,4,10,0,0,4,10,5,0,0,0,8,5,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0
